Income Statement,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,11.84%,7.83%,3.29%,0.64%,0.00%
Total Revenues,11.84%,7.83%,3.29%,0.64%,0.00%
Cost Of Revenues,11.14%,11.35%,5.86%,(1.06%),0.00%
Gross Profit,13.05%,1.90%,(1.46%),4.00%,0.00%
Selling General & Admin Expenses,12.87%,1.38%,(3.93%),0.14%,0.00%
Other Operating Expense/(Income),84.28%,(30.56%),18.07%,(33.61%),0.00%
Total Operating Expenses,16.73%,(1.24%),(2.30%),(2.28%),0.00%
Operating Income,6.07%,8.47%,0.16%,15.67%,0.00%
Interest Expense,(14.45%),(24.84%),(2.30%),-21.53%,0.00%
Interest And Investment Income,72.84%,71.32%,(21.54%),(66.60%),0.00%
Net Interest Expenses,(6.54%),(14.63%),(10.13%),-10.98%,0.00%
Currency Exchange Gains (Loss),,(37.86%),(5.94%),(91.69%),0.00%
"EBT, Excl. Unusual Items",11.78%,6.01%,(2.09%),19.12%,0.00%
"EBT, Incl. Unusual Items",24.28%,(33.10%),9.46%,14.06%,0.00%
Income Tax Expense,14.98%,38.35%,(61.37%),(74.25%),0.00%
Earnings From Continuing Operations,26.80%,(50.62%),58.14%,28.88%,0.00%
Net Income to Company,26.80%,(50.62%),58.14%,28.88%,0.00%
Minority Interest,0.00%,,(266.67%),-59.09%,0.00%
Net Income,26.79%,(50.69%),57.93%,29.09%,0.00%
Preferred Dividend and Other Adjustments,,,,,65.96%
NI to Common Incl Extra Items,26.79%,(50.69%),57.93%,26.64%,0.00%
NI to Common Excl. Extra Items,26.79%,(50.69%),57.93%,26.64%,0.00%
Revenue Per Share,9.16%,8.35%,3.68%,(3.15%),0.00%
Basic EPS,23.71%,(50.44%),58.68%,21.91%,0.00%
Basic EPS - Continuing Ops,23.71%,(50.44%),58.68%,21.91%,0.00%
Basic Weighted Average Shares Outst.,2.46%,(0.47%),(0.37%),3.92%,0.00%
Diluted EPS,23.28%,(50.43%),59.15%,22.36%,0.00%
Diluted EPS - Continuing Ops,23.28%,(50.43%),59.15%,22.36%,0.00%
Diluted Weighted Average Shares Outst.,2.86%,(0.53%),(0.72%),3.52%,0.00%
Normalized Basic EPS,9.16%,6.42%,(1.84%),14.87%,0.00%
Normalized Diluted EPS,8.73%,6.47%,(1.56%),15.29%,0.00%
Dividend Per Share,7.08%,6.61%,4.65%,2.96%,0.00%
Payout Ratio,(13.49%),115.08%,(33.87%),(13.17%),0.00%
EBITDA,7.55%,8.80%,2.57%,12.57%,0.00%
EBITA,6.72%,8.33%,0.79%,14.87%,0.00%
EBIT,6.07%,8.47%,0.16%,15.67%,0.00%
EBITDAR,8.39%,9.45%,2.64%,11.79%,
Effective Tax Rate,(7.49%),106.86%,(64.71%),(77.42%),0.00%
Normalized Net Income,11.78%,5.90%,(2.26%),19.31%,0.00%
R&D Expense From Footnotes,23.43%,9.31%,(7.47%),(17.32%),0.00%
Foreign Sales,11.82%,5.74%,(4.97%),(3.95%),
