Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,10.50%,8.75%,37.05%,(2.30%),(16.66%)
Total Revenues,10.50%,8.75%,37.05%,(2.30%),(16.66%)
Cost Of Revenues,6.19%,8.54%,42.84%,3.66%,(10.30%)
Gross Profit,13.95%,8.91%,32.74%,(7.07%),(21.88%)
Selling General & Admin Expenses,16.12%,8.59%,47.78%,3.01%,(10.04%)
Total Operating Expenses,15.96%,3.65%,53.26%,6.75%,(7.98%)
Operating Income,13.29%,10.68%,26.29%,(12.34%),(27.50%)
Interest Expense,(24.54%),(10.03%),(29.56%),(19.79%),(12.09%)
Net Interest Expenses,(24.54%),(10.03%),(29.56%),(19.79%),(12.09%)
"EBT, Excl. Unusual Items",6.68%,11.26%,23.62%,(30.20%),(51.94%)
"EBT, Incl. Unusual Items",9.02%,17.74%,7.81%,(30.39%),(54.79%)
Income Tax Expense,14.96%,(88.51%),825.00%,(60.81%),(86.34%)
Earnings From Continuing Operations,7.18%,53.05%,(12.58%),(22.35%),(46.64%)
Earnings Of Discontinued Operations,,-84.20%,,(7.84%),
Net Income to Company,1.79%,60.33%,(6.79%),(21.52%),(55.54%)
Minority Interest,,,,-50.00%,-100.00%
Net Income,1.79%,60.33%,(7.00%),(21.46%),(55.41%)
Preferred Dividend and Other Adjustments,"5,208.57%",(64.84%),98.21%,66.67%,(73.16%)
NI to Common Incl Extra Items,(24.99%),105.88%,(13.54%),(34.02%),(48.76%)
NI to Common Excl. Extra Items,(19.56%),93.06%,(19.65%),(35.85%),(34.44%)
Revenue Per Share,11.75%,8.61%,35.35%,(4.00%),(16.74%)
Basic EPS,(24.15%),105.65%,(14.64%),(35.19%),(48.81%)
Basic EPS - Continuing Ops,(18.66%),92.84%,(20.62%),(36.97%),(34.49%)
Basic Weighted Average Shares Outst.,(1.12%),0.13%,1.26%,1.78%,0.09%
Diluted EPS,(24.15%),105.65%,(14.64%),(35.19%),(48.81%)
Diluted EPS - Continuing Ops,(18.66%),92.84%,(20.62%),(36.97%),(34.49%)
Diluted Weighted Average Shares Outst.,(1.12%),0.13%,1.26%,1.78%,0.09%
Normalized Basic EPS,7.85%,11.08%,21.77%,(31.35%),(51.80%)
Normalized Diluted EPS,7.85%,11.08%,21.77%,(31.35%),(51.80%)
EBITDA,13.51%,9.09%,29.82%,(8.69%),(24.15%)
EBITA,13.39%,9.00%,28.84%,(10.07%),(25.59%)
EBIT,13.29%,10.68%,26.29%,(12.34%),(27.50%)
EBITDAR,13.39%,8.98%,29.89%,(8.46%),
Effective Tax Rate,5.43%,(90.24%),759.43%,(43.69%),(69.79%)
Normalized Net Income,6.68%,11.26%,23.30%,(30.15%),(51.76%)
R&D Expense From Footnotes,25.94%,0.00%,58.27%,12.07%,12.07%
Foreign Sales,,2.74%,31.22%,(4.61%),
