Income Statement,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,21.11%,11.44%,9.02%,(2.45%),0.00%
Total Revenues,21.11%,11.44%,9.02%,(2.45%),0.00%
Cost Of Revenues,22.14%,10.56%,7.47%,(1.28%),0.00%
Gross Profit,19.48%,12.89%,11.51%,(4.25%),0.00%
Selling General & Admin Expenses,13.64%,7.62%,9.35%,(8.50%),0.00%
Total Operating Expenses,13.64%,7.62%,9.35%,(8.50%),0.00%
Operating Income,31.32%,22.15%,14.84%,2.01%,0.00%
Interest Expense,(44.35%),-12.05%,-24.66%,-30.45%,0.00%
Interest And Investment Income,700.00%,54.17%,(72.97%),,
Net Interest Expenses,(35.68%),-17.21%,-17.65%,-27.14%,0.00%
Currency Exchange Gains (Loss),,,,,0.00%
Other Non Operating Income (Expenses),(458.82%),(12.63%),(48.60%),,0.00%
"EBT, Excl. Unusual Items",28.00%,26.24%,18.72%,2.85%,0.00%
"EBT, Incl. Unusual Items",18.94%,37.25%,20.26%,(0.84%),0.00%
Income Tax Expense,18.65%,0.50%,18.80%,(5.04%),0.00%
Earnings From Continuing Operations,19.02%,46.92%,20.52%,(0.10%),0.00%
Net Income to Company,19.02%,46.92%,20.52%,(0.10%),0.00%
Net Income,19.02%,46.92%,20.52%,(0.10%),0.00%
NI to Common Incl Extra Items,19.02%,46.92%,20.52%,(0.10%),0.00%
NI to Common Excl. Extra Items,19.02%,46.92%,20.52%,(0.10%),0.00%
Revenue Per Share,19.04%,9.58%,7.51%,(3.51%),0.00%
Basic EPS,16.93%,44.56%,18.91%,(1.16%),0.00%
Basic EPS - Continuing Ops,16.93%,44.56%,18.91%,(1.16%),0.00%
Basic Weighted Average Shares Outst.,1.73%,1.70%,1.40%,1.10%,0.00%
Diluted EPS,16.57%,43.93%,19.09%,(1.03%),0.00%
Diluted EPS - Continuing Ops,16.57%,43.93%,19.09%,(1.03%),0.00%
Diluted Weighted Average Shares Outst.,2.25%,1.93%,1.35%,1.07%,0.00%
Normalized Basic EPS,25.83%,24.12%,17.13%,1.74%,0.00%
Normalized Diluted EPS,25.08%,23.82%,17.06%,1.74%,0.00%
EBITDA,30.86%,16.84%,11.60%,2.34%,0.00%
EBITA,34.62%,17.70%,13.18%,2.28%,0.00%
EBIT,31.32%,22.15%,14.84%,2.01%,0.00%
EBITDAR,28.32%,16.69%,10.26%,2.70%,
Effective Tax Rate,(0.26%),(26.79%),(1.23%),(4.22%),0.00%
Normalized Net Income,28.00%,26.24%,18.72%,2.85%,0.00%
Interest on Long-Term Debt,50.42%,(17.75%),(24.66%),(28.18%),
R&D Expense From Footnotes,5.96%,4.45%,12.93%,(6.49%),0.00%
Foreign Sales,98.53%,13.59%,14.83%,2.39%,
