Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,14.90%,14.07%,6.00%,(2.24%),0.00%
Total Revenues,14.90%,14.07%,6.00%,(2.24%),0.00%
Cost Of Revenues,12.88%,17.55%,3.56%,2.19%,0.00%
Gross Profit,16.63%,11.18%,8.15%,(5.97%),0.00%
Selling General & Admin Expenses,22.23%,6.85%,7.23%,(2.85%),0.00%
R&D Expenses,44.71%,25.29%,7.20%,5.17%,0.00%
Total Operating Expenses,24.32%,8.85%,7.22%,(1.85%),0.00%
Operating Income,3.79%,15.84%,9.89%,(13.53%),0.00%
Interest Expense,(50.24%),(24.80%),-22.08%,-17.16%,0.00%
Interest And Investment Income,62.66%,22.44%,84.43%,(33.49%),0.00%
Net Interest Expenses,(50.14%),(24.83%),-23.07%,-16.80%,0.00%
"EBT, Excl. Unusual Items",(4.05%),13.46%,19.50%,(12.92%),0.00%
"EBT, Incl. Unusual Items",15.95%,(22.91%),54.76%,5.25%,0.00%
Income Tax Expense,"1,505.75%",(82.11%),,,0.00%
Earnings From Continuing Operations,(34.67%),26.52%,135.19%,(27.31%),0.00%
Earnings Of Discontinued Operations,,,,-7.38%,0.00%
Net Income to Company,(35.87%),31.65%,129.81%,(27.34%),0.00%
Net Income,(35.74%),31.65%,129.81%,(27.34%),0.00%
NI to Common Incl Extra Items,(35.74%),31.65%,129.81%,(27.34%),0.00%
NI to Common Excl. Extra Items,(34.54%),26.52%,135.19%,(27.31%),0.00%
Revenue Per Share,10.60%,12.37%,4.83%,(2.85%),0.00%
Basic EPS,(38.15%),29.65%,127.53%,(27.80%),0.00%
Basic EPS - Continuing Ops,(36.93%),24.62%,132.55%,(27.77%),0.00%
Basic Weighted Average Shares Outst.,3.88%,1.52%,1.12%,0.62%,0.00%
Diluted EPS,(34.31%),31.30%,128.42%,(27.65%),0.00%
Diluted EPS - Continuing Ops,(33.13%),26.13%,133.57%,(27.62%),0.00%
Diluted Weighted Average Shares Outst.,(2.06%),0.29%,0.62%,0.42%,0.00%
Normalized Basic EPS,(7.35%),11.75%,18.27%,(13.53%),0.00%
Normalized Diluted EPS,(1.74%),13.04%,18.76%,(13.31%),0.00%
Dividend Per Share,0.00%,0.00%,0.00%,0.00%,0.00%
Payout Ratio,61.62%,(22.89%),(56.02%),38.53%,0.00%
EBITDA,10.45%,21.36%,7.37%,(7.61%),0.00%
EBITA,11.27%,23.01%,7.52%,(9.05%),0.00%
EBIT,3.79%,15.84%,9.89%,(13.53%),0.00%
EBITDAR,9.21%,20.49%,6.68%,(7.23%),
Effective Tax Rate,"1,283.12%",(76.79%),,,0.00%
Normalized Net Income,(3.83%),13.46%,19.50%,(12.92%),0.00%
R&D Expense From Footnotes,44.71%,25.29%,7.20%,5.17%,0.00%
Foreign Sales,4.97%,12.06%,(0.99%),(1.93%),
