Income Statement,Feb 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,3.42%,3.69%,3.62%,19.80%,19.80%
Other Revenues,8.28%,(0.54%),6.39%,18.23%,18.23%
Total Revenues,3.48%,3.63%,3.66%,19.78%,19.78%
Cost Of Revenues,4.03%,4.25%,2.94%,20.62%,20.62%
Gross Profit,2.19%,2.17%,5.40%,17.79%,17.79%
Selling General & Admin Expenses,6.42%,4.11%,3.57%,14.74%,14.74%
Depreciation & Amortization,8.80%,(0.04%),5.98%,(5.39%),(5.39%)
Total Operating Expenses,6.72%,3.57%,3.87%,12.18%,12.18%
Operating Income,(12.43%),(3.36%),11.85%,39.76%,39.76%
Interest Expense,-6.85%,-13.02%,(1.30%),-0.43%,-0.43%
Net Interest Expenses,-6.85%,-13.02%,(1.30%),-0.43%,-0.43%
Other Non Operating Income (Expenses),,,50.00%,,
"EBT, Excl. Unusual Items",(13.15%),(1.98%),13.16%,43.97%,43.97%
"EBT, Incl. Unusual Items",(8.36%),1.27%,13.98%,32.36%,32.36%
Income Tax Expense,(44.25%),3.32%,23.46%,27.90%,27.90%
Earnings From Continuing Operations,9.08%,0.76%,11.57%,33.62%,33.62%
Earnings Of Discontinued Operations,(91.18%),16.67%,71.43%,,
Net Income to Company,6.58%,0.79%,11.71%,33.13%,33.13%
Net Income,6.58%,0.79%,11.71%,33.13%,33.13%
NI to Common Incl Extra Items,6.58%,0.79%,11.71%,33.13%,33.13%
NI to Common Excl. Extra Items,9.08%,0.76%,11.57%,33.62%,33.62%
Revenue Per Share,9.31%,7.20%,7.25%,22.24%,22.24%
Basic EPS,12.67%,4.24%,15.50%,35.91%,35.87%
Basic EPS - Continuing Ops,15.11%,4.19%,15.50%,36.34%,36.37%
Basic Weighted Average Shares Outst.,(5.33%),(3.33%),(3.35%),(2.02%),(2.02%)
Diluted EPS,12.79%,4.02%,15.49%,35.85%,35.78%
Diluted EPS - Continuing Ops,15.50%,3.97%,15.27%,36.28%,36.28%
Diluted Weighted Average Shares Outst.,(5.53%),(3.11%),(3.30%),(1.98%),(1.98%)
Normalized Basic EPS,(8.27%),1.48%,16.96%,46.83%,46.94%
Normalized Diluted EPS,(8.09%),1.07%,16.94%,46.84%,46.88%
Dividend Per Share,5.17%,3.28%,3.17%,3.08%,3.08%
Payout Ratio,(6.88%),(1.01%),(10.81%),(24.16%),(24.15%)
EBITDA,(6.33%),(2.18%),9.42%,24.02%,24.02%
EBITA,(12.38%),(3.35%),11.79%,39.70%,39.70%
EBIT,(12.43%),(3.36%),11.85%,39.76%,39.76%
EBITDAR,(5.90%),(1.71%),9.58%,23.72%,
Effective Tax Rate,(39.16%),2.03%,8.33%,(3.36%),(3.37%)
Normalized Net Income,(13.15%),(1.98%),13.16%,43.97%,43.97%
Interest on Long-Term Debt,16.67%,0.00%,21.43%,21.57%,
