Income Statement,Feb 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,8.08%,8.67%,7.04%,(22.96%),(22.96%)
Total Revenues,8.08%,8.67%,7.04%,(22.96%),(22.96%)
Cost Of Revenues,8.22%,9.13%,(3.46%),(19.50%),(19.50%)
Gross Profit,7.74%,7.52%,33.28%,(29.24%),(29.24%)
Selling General & Admin Expenses,10.52%,8.60%,50.70%,0.04%,0.04%
Total Operating Expenses,10.52%,8.60%,50.70%,0.04%,0.04%
Operating Income,3.58%,5.79%,4.69%,(98.41%),(98.41%)
Interest Expense,(4.25%),(0.85%),-8.87%,(227.75%),(227.75%)
Interest And Investment Income,80.33%,71.15%,(12.36%),(73.66%),(73.66%)
Net Interest Expenses,-27.44%,-71.95%,(13.16%),"(1,702.65%)","(1,702.65%)"
"EBT, Excl. Unusual Items",3.94%,6.41%,4.68%,,
"EBT, Incl. Unusual Items",3.59%,8.21%,5.58%,(97.97%),(97.97%)
Income Tax Expense,(12.36%),(10.83%),1.85%,,
Earnings From Continuing Operations,13.48%,17.33%,6.94%,(97.24%),(97.24%)
Net Income to Company,13.48%,17.33%,6.94%,(97.24%),(97.24%)
Net Income,13.48%,17.33%,6.94%,(97.24%),(97.24%)
NI to Common Incl Extra Items,13.48%,17.33%,6.94%,(97.24%),(97.24%)
NI to Common Excl. Extra Items,13.48%,17.33%,6.94%,(97.24%),(97.24%)
Revenue Per Share,11.26%,11.51%,9.97%,(22.44%),(22.44%)
Basic EPS,17.01%,20.26%,9.65%,(97.22%),(97.22%)
Basic EPS - Continuing Ops,17.01%,20.26%,9.65%,(97.22%),(97.22%)
Basic Weighted Average Shares Outst.,(2.87%),(2.55%),(2.66%),(0.68%),(0.68%)
Diluted EPS,16.76%,20.30%,9.88%,(97.38%),(97.38%)
Diluted EPS - Continuing Ops,16.76%,20.30%,9.88%,(97.38%),(97.38%)
Diluted Weighted Average Shares Outst.,(2.76%),(2.55%),(2.60%),(0.96%),(0.96%)
Normalized Basic EPS,7.25%,9.26%,7.52%,,
Normalized Diluted EPS,6.89%,9.38%,7.43%,,
Dividend Per Share,20.19%,23.81%,17.95%,(71.74%),(71.74%)
Payout Ratio,3.41%,2.91%,8.62%,839.14%,839.21%
EBITDA,4.55%,6.88%,4.88%,(82.19%),(82.19%)
EBITA,3.58%,5.79%,4.69%,(98.41%),(98.41%)
EBIT,3.58%,5.79%,4.69%,(98.41%),(98.41%)
EBITDAR,,,,(52.50%),
Effective Tax Rate,(15.40%),(17.60%),(3.54%),,
Normalized Net Income,3.94%,6.41%,4.68%,,
Interest Capitalized,(34.53%),(13.74%),(45.72%),132.67%,
Foreign Sales,,,,(32.59%),
