Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,14.47%,16.45%,4.86%,26.14%,0.00%
Total Revenues,14.47%,16.45%,4.86%,26.14%,0.00%
Cost Of Revenues,15.85%,18.51%,5.25%,14.16%,0.00%
Gross Profit,12.87%,13.98%,4.38%,41.12%,0.00%
Selling General & Admin Expenses,11.16%,10.94%,0.96%,14.41%,0.00%
R&D Expenses,17.64%,9.02%,3.72%,17.75%,0.00%
Total Operating Expenses,11.89%,10.67%,1.34%,14.88%,0.00%
Operating Income,14.83%,20.46%,9.85%,84.73%,0.00%
Interest Expense,(26.23%),(12.67%),(1.35%),-18.20%,0.00%
Interest And Investment Income,68.75%,69.14%,63.50%,(70.98%),0.00%
Net Interest Expenses,(21.38%),(3.72%),-14.72%,(7.96%),0.00%
Currency Exchange Gains (Loss),,,,,0.00%
Other Non Operating Income (Expenses),,,(47.62%),636.36%,0.00%
"EBT, Excl. Unusual Items",12.85%,24.62%,14.89%,90.68%,0.00%
"EBT, Incl. Unusual Items",20.01%,34.29%,24.77%,77.52%,0.00%
Income Tax Expense,,61.19%,15.43%,127.27%,0.00%
Earnings From Continuing Operations,10.02%,31.87%,25.80%,72.48%,0.00%
Earnings Of Discontinued Operations,0.00%,,,,
Net Income to Company,10.04%,32.04%,25.80%,72.48%,0.00%
Net Income,10.04%,32.04%,25.80%,72.48%,0.00%
NI to Common Incl Extra Items,10.04%,32.04%,25.80%,72.48%,0.00%
NI to Common Excl. Extra Items,10.02%,31.87%,25.80%,72.48%,0.00%
Revenue Per Share,14.48%,14.41%,5.39%,27.40%,0.00%
Basic EPS,10.02%,29.81%,26.40%,74.23%,0.00%
Basic EPS - Continuing Ops,9.95%,29.58%,26.40%,74.23%,0.00%
Basic Weighted Average Shares Outst.,0.00%,1.77%,(0.50%),(1.00%),0.00%
Diluted EPS,9.87%,29.52%,26.66%,74.05%,0.00%
Diluted EPS - Continuing Ops,9.80%,29.29%,26.66%,74.05%,0.00%
Diluted Weighted Average Shares Outst.,0.25%,2.01%,(0.74%),(0.99%),0.00%
Normalized Basic EPS,12.93%,22.45%,15.49%,92.65%,0.00%
Normalized Diluted EPS,12.67%,22.10%,15.73%,92.48%,0.00%
Dividend Per Share,0.00%,13.33%,11.76%,15.79%,0.00%
Payout Ratio,(9.50%),(14.99%),(11.21%),(34.25%),0.00%
EBITDA,15.40%,17.00%,6.38%,55.96%,0.00%
EBITA,15.22%,16.74%,6.30%,59.67%,0.00%
EBIT,14.83%,20.46%,9.85%,84.73%,0.00%
EBITDAR,15.14%,16.62%,6.76%,54.26%,
Effective Tax Rate,,19.96%,(7.46%),28.02%,0.00%
Normalized Net Income,12.85%,24.62%,14.89%,90.68%,0.00%
R&D Expense From Footnotes,17.64%,9.02%,3.72%,17.75%,0.00%
Foreign Sales,17.42%,17.98%,3.51%,19.79%,
