Income Statement,Jul 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,(0.08%),31.01%,2.50%,(17.68%),(22.83%)
Total Revenues,(0.08%),31.01%,2.50%,(17.68%),(22.83%)
Cost Of Revenues,(2.44%),36.37%,1.59%,(17.55%),(27.52%)
Gross Profit,1.04%,28.56%,2.94%,(17.74%),(20.58%)
Selling General & Admin Expenses,(0.19%),30.84%,6.58%,(7.80%),(16.68%)
Total Operating Expenses,(0.19%),30.84%,6.58%,(7.80%),(16.68%)
Operating Income,4.64%,22.21%,(7.95%),(52.20%),(35.11%)
Interest Expense,-18.54%,(222.01%),-22.48%,(6.88%),(14.86%)
Interest And Investment Income,,,54.47%,(40.00%),(72.16%)
Net Interest Expenses,-0.37%,(176.12%),-35.27%,(25.47%),(50.10%)
Other Non Operating Income (Expenses),,-25.00%,(366.67%),(137.50%),-97.50%
"EBT, Excl. Unusual Items",4.60%,17.05%,(6.24%),(57.76%),(39.28%)
"EBT, Incl. Unusual Items",21.13%,(21.37%),28.38%,,
Income Tax Expense,1.14%,18.63%,(38.38%),(77.28%),
Earnings From Continuing Operations,28.34%,(32.74%),61.86%,,
Net Income to Company,28.34%,(32.74%),61.86%,,
Net Income,28.34%,(32.74%),61.86%,,
NI to Common Incl Extra Items,28.34%,(32.74%),61.86%,,
NI to Common Excl. Extra Items,28.34%,(32.74%),61.86%,,
Revenue Per Share,(1.14%),28.77%,1.10%,(14.51%),(20.48%)
Basic EPS,26.88%,(33.99%),59.94%,,
Basic EPS - Continuing Ops,26.88%,(33.99%),59.94%,,
Basic Weighted Average Shares Outst.,1.08%,1.71%,1.40%,(3.73%),(2.95%)
Diluted EPS,26.67%,(33.97%),60.14%,,
Diluted EPS - Continuing Ops,26.67%,(33.97%),60.14%,,
Diluted Weighted Average Shares Outst.,1.25%,2.05%,0.76%,(4.20%),(3.23%)
Normalized Basic EPS,3.36%,14.86%,(7.53%),(56.16%),(37.43%)
Normalized Diluted EPS,3.16%,14.90%,(7.05%),(55.92%),(37.25%)
Dividend Per Share,0.00%,0.00%,0.00%,(25.00%),(75.00%)
Payout Ratio,(21.35%),51.08%,(37.16%),,
EBITDA,3.87%,22.24%,(5.67%),(42.05%),(30.45%)
EBITA,4.64%,22.21%,(7.95%),(52.20%),(35.11%)
EBIT,4.64%,22.21%,(7.95%),(52.20%),(35.11%)
EBITDAR,7.70%,,,,
Effective Tax Rate,(16.51%),50.90%,(52.00%),,(49.59%)
Normalized Net Income,4.60%,17.05%,(6.24%),(57.76%),(39.28%)
Interest on Long-Term Debt,(18.54%),222.01%,(22.48%),6.88%,
Foreign Sales,2.05%,17.84%,8.65%,(19.39%),
