Income Statement,Dec 2017,Dec 2018,Jan 2020,Jan 2021,TTM
Revenues,12.04%,17.45%,5.02%,(3.57%),0.00%
Total Revenues,12.04%,17.45%,5.02%,(3.57%),0.00%
Cost Of Revenues,13.44%,12.31%,5.05%,(6.53%),0.00%
Gross Profit,10.95%,21.57%,4.99%,(1.39%),0.00%
Selling General & Admin Expenses,11.30%,14.16%,2.72%,(8.12%),0.00%
R&D Expenses,5.89%,20.50%,5.29%,1.32%,0.00%
Total Operating Expenses,7.92%,16.89%,2.35%,(4.81%),0.00%
Operating Income,27.88%,43.72%,15.14%,10.35%,0.00%
Interest Expense,-2.70%,(190.48%),(12.57%),-5.83%,0.00%
Net Interest Expenses,-2.70%,(190.48%),(12.57%),-5.83%,0.00%
Other Non Operating Income (Expenses),229.17%,(81.01%),126.67%,(64.71%),0.00%
"EBT, Excl. Unusual Items",39.39%,21.18%,17.08%,13.15%,0.00%
"EBT, Incl. Unusual Items",40.94%,12.01%,24.03%,14.56%,0.00%
Income Tax Expense,195.44%,,"(3,101.89%)",,0.00%
Earnings From Continuing Operations,(10.36%),139.07%,81.61%,(24.08%),0.00%
Net Income to Company,(10.36%),139.07%,81.61%,(24.08%),0.00%
Minority Interest,,(400.00%),-60.00%,(250.00%),0.00%
Net Income,(10.57%),138.85%,81.86%,(24.19%),0.00%
NI to Common Incl Extra Items,(10.57%),138.85%,81.86%,(24.19%),0.00%
NI to Common Excl. Extra Items,(10.57%),138.85%,81.86%,(24.19%),0.00%
Revenue Per Share,11.32%,18.42%,4.71%,(3.49%),0.00%
Basic EPS,(11.39%),140.68%,81.47%,(24.07%),0.00%
Basic EPS - Continuing Ops,(11.39%),140.68%,81.47%,(24.07%),0.00%
Basic Weighted Average Shares Outst.,0.64%,(0.83%),0.32%,(0.12%),0.00%
Diluted EPS,(11.54%),143.48%,81.25%,(23.65%),0.00%
Diluted EPS - Continuing Ops,(11.54%),143.48%,81.25%,(23.65%),0.00%
Diluted Weighted Average Shares Outst.,1.10%,(1.29%),(0.20%),(0.24%),0.00%
Normalized Basic EPS,38.65%,21.16%,17.15%,12.95%,0.00%
Normalized Diluted EPS,36.16%,23.21%,17.63%,13.34%,0.00%
EBITDA,13.26%,32.72%,8.19%,5.42%,0.00%
EBITA,15.34%,35.27%,8.03%,5.73%,0.00%
EBIT,27.88%,43.72%,15.14%,10.35%,0.00%
EBITDAR,,,,4.55%,
Effective Tax Rate,109.61%,,,,0.00%
Normalized Net Income,39.07%,20.96%,17.27%,12.95%,0.00%
R&D Expense From Footnotes,7.09%,19.91%,4.42%,1.23%,0.00%
Foreign Sales,,(39.08%),1.02%,1.19%,
