Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,13.31%,10.66%,4.57%,10.48%,0.00%
Total Revenues,13.31%,10.66%,4.57%,10.48%,0.00%
Cost Of Revenues,11.05%,8.36%,6.14%,9.71%,0.00%
Gross Profit,15.04%,12.38%,3.43%,11.05%,0.00%
Selling General & Admin Expenses,16.91%,7.87%,8.53%,(0.17%),0.00%
Total Operating Expenses,16.91%,7.87%,8.53%,(0.17%),0.00%
Operating Income,14.40%,13.96%,1.74%,15.03%,0.00%
Interest And Investment Income,71.19%,(69.61%),347.40%,(6.53%),0.00%
Net Interest Expenses,71.19%,(69.61%),347.40%,(6.53%),0.00%
Other Non Operating Income (Expenses),,,,,0.00%
"EBT, Excl. Unusual Items",21.14%,0.29%,18.88%,10.76%,0.00%
"EBT, Incl. Unusual Items",27.78%,(4.81%),22.76%,10.76%,0.00%
Income Tax Expense,30.77%,(33.34%),10.15%,5.97%,0.00%
Earnings From Continuing Operations,26.09%,11.86%,27.15%,12.20%,0.00%
Net Income to Company,26.09%,11.86%,27.15%,12.20%,0.00%
Minority Interest,(113.85%),,,(28.06%),0.00%
Net Income,23.28%,22.68%,15.99%,11.33%,0.00%
Preferred Dividend and Other Adjustments,32.94%,28.61%,26.83%,18.08%,0.00%
NI to Common Incl Extra Items,23.07%,22.54%,15.73%,11.15%,0.00%
NI to Common Excl. Extra Items,23.07%,22.54%,15.73%,11.15%,0.00%
Revenue Per Share,15.35%,10.20%,7.60%,13.65%,0.00%
Basic EPS,25.14%,22.02%,19.02%,14.34%,0.00%
Basic EPS - Continuing Ops,25.14%,22.02%,19.02%,14.34%,0.00%
Basic Weighted Average Shares Outst.,(1.75%),0.41%,(2.81%),(2.80%),0.00%
Diluted EPS,25.68%,21.78%,19.67%,14.71%,0.00%
Diluted EPS - Continuing Ops,25.68%,21.78%,19.67%,14.71%,0.00%
Diluted Weighted Average Shares Outst.,(2.08%),0.73%,(3.36%),(3.10%),0.00%
Normalized Basic EPS,20.32%,10.27%,9.53%,12.77%,0.00%
Normalized Diluted EPS,20.82%,9.99%,10.22%,13.00%,0.00%
Dividend Per Share,5.56%,22.81%,8.57%,18.42%,0.00%
Payout Ratio,(15.54%),0.49%,(8.88%),3.53%,0.00%
EBITDA,13.94%,13.77%,2.88%,13.87%,0.00%
EBITA,14.40%,13.96%,1.74%,15.03%,0.00%
EBIT,14.40%,13.96%,1.74%,15.03%,0.00%
EBITDAR,13.87%,13.73%,2.40%,13.83%,
Effective Tax Rate,2.33%,(29.97%),(10.28%),(4.30%),0.00%
Normalized Net Income,18.19%,10.80%,6.48%,9.57%,0.00%
