Income Statement,Oct 2016,Sep 2017,Sep 2018,Sep 2019,Oct 2020,TTM
Revenues,36881.0,38260.0,40052.0,42405.0,43185.0,42830.0
Total Revenues,36881.0,38260.0,40052.0,42405.0,43185.0,42830.0
Cost Of Revenues,32184.0,33119.0,34855.0,37311.0,37284.0,37097.0
Gross Profit,4697.0,5141.0,5197.0,5094.0,5901.0,5733.0
Selling General & Admin Expenses,1864.0,2008.0,2045.0,2222.0,2167.0,2001.0
Total Operating Expenses,1864.0,2008.0,2045.0,2222.0,2167.0,2001.0
Operating Income,2833.0,3133.0,3152.0,2872.0,3734.0,3732.0
Interest Expense,(249.0),(279.0),(350.0),(462.0),(485.0),(475.0)
Interest And Investment Income,6.0,7.0,7.0,11.0,10.0,9.0
Net Interest Expenses,(243.0),(272.0),(343.0),(451.0),(475.0),(466.0)
Currency Exchange Gains (Loss),(4.0),,1.0,8.0,(5.0),(8.0)
Other Non Operating Income (Expenses),,(4.0),,(3.0),32.0,39.0
"EBT, Excl. Unusual Items",2598.0,2876.0,2831.0,2446.0,3286.0,3297.0
"EBT, Incl. Unusual Items",2598.0,2628.0,2682.0,2374.0,2664.0,2623.0
Income Tax Expense,826.0,850.0,(291.0),381.0,593.0,589.0
Earnings From Continuing Operations,1772.0,1778.0,2973.0,1993.0,2071.0,2034.0
Net Income to Company,1772.0,1778.0,2973.0,1993.0,2071.0,2034.0
Minority Interest,(4.0),(4.0),(3.0),(13.0),(10.0),(11.0)
Net Income,1768.0,1774.0,2970.0,1980.0,2061.0,2023.0
NI to Common Incl Extra Items,1768.0,1774.0,2970.0,1980.0,2061.0,2023.0
NI to Common Excl. Extra Items,1768.0,1774.0,2970.0,1980.0,2061.0,2023.0
Revenue Per Share,$95.79,$104.54,$109.73,$116.82,$118.97,$117.99
Basic EPS,$4.59,$4.85,$8.14,$5.45,$5.68,$5.57
Basic EPS - Continuing Ops,$4.59,$4.85,$8.14,$5.45,$5.68,$5.57
Basic Weighted Average Shares Outst.,385.0,366.0,365.0,363.0,363.0,363.0
Diluted EPS,$4.53,$4.79,$8.04,$5.40,$5.64,$5.54
Diluted EPS - Continuing Ops,$4.53,$4.79,$8.04,$5.40,$5.64,$5.54
Diluted Weighted Average Shares Outst.,390.0,370.0,369.0,366.0,365.0,364.5
Normalized Basic EPS,$4.21,$4.90,$4.84,$4.18,$5.63,$5.65
Normalized Diluted EPS,$4.15,$4.85,$4.79,$4.14,$5.60,$5.62
Dividend Per Share,$0.60,$0.90,$1.20,$1.50,$1.68,$1.68
Payout Ratio,12.22%,17.98%,14.51%,27.12%,29.16%,30.15%
EBITDA,3530.0,3881.0,4085.0,3958.0,4912.0,4920.0
EBITA,2913.0,3239.0,3362.0,3139.0,4012.0,4008.0
EBIT,2833.0,3133.0,3152.0,2872.0,3734.0,3732.0
EBITDAR,3702.0,4067.0,4285.0,4178.0,5600.0,
Effective Tax Rate,31.8%,32.3%,NM,16.0%,22.3%,22.5%
Normalized Net Income,1619.8,1793.5,1766.4,1515.8,2043.8,2049.6
R&D Expense From Footnotes,96.0,113.0,114.0,97.0,98.0,98.0
Foreign Sales,,765.2,400.5,1696.2,2159.3,
