Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,(3.41%),24.52%,13.71%,7.43%,0.00%
Total Revenues,(3.41%),24.52%,13.71%,7.43%,0.00%
Cost Of Revenues,(2.49%),12.05%,17.83%,20.17%,0.00%
Gross Profit,(3.91%),31.31%,11.79%,1.19%,0.00%
Selling General & Admin Expenses,(17.57%),6.88%,19.01%,2.09%,0.00%
R&D Expenses,(22.30%),2.19%,23.19%,27.95%,0.00%
Total Operating Expenses,(19.29%),5.23%,20.44%,11.11%,0.00%
Operating Income,,"1,070.17%",(19.18%),(51.78%),0.00%
Interest Expense,(5.27%),(26.01%),(4.20%),(10.64%),0.00%
Interest And Investment Income,82.82%,150.59%,41.79%,(44.09%),0.00%
Net Interest Expenses,-19.60%,-64.86%,,,0.00%
Currency Exchange Gains (Loss),418.75%,,-37.93%,(12.50%),0.00%
Other Non Operating Income (Expenses),,,(54.98%),44.83%,0.00%
"EBT, Excl. Unusual Items",-90.17%,,(10.56%),(71.72%),0.00%
"EBT, Incl. Unusual Items",-78.36%,,(7.89%),,0.00%
Income Tax Expense,(21.16%),,(37.53%),,0.00%
Earnings From Continuing Operations,-76.35%,,21.57%,,0.00%
Net Income to Company,-76.35%,,21.57%,,0.00%
Net Income,-76.35%,,21.57%,,0.00%
NI to Common Incl Extra Items,-76.35%,,21.57%,,0.00%
NI to Common Excl. Extra Items,-76.35%,,21.57%,,0.00%
Revenue Per Share,(7.37%),21.12%,11.37%,5.06%,0.00%
Basic EPS,-77.31%,,18.85%,,0.00%
Basic EPS - Continuing Ops,-77.31%,,18.85%,,0.00%
Basic Weighted Average Shares Outst.,4.35%,2.95%,2.17%,2.22%,0.00%
Diluted EPS,-76.92%,,19.87%,,0.00%
Diluted EPS - Continuing Ops,-76.92%,,19.87%,,0.00%
Diluted Weighted Average Shares Outst.,4.35%,5.46%,1.66%,0.30%,0.00%
Normalized Basic EPS,-90.62%,,(11.61%),(72.39%),0.00%
Normalized Diluted EPS,-90.62%,,(13.28%),(71.47%),0.00%
EBITDA,448.31%,126.86%,(6.66%),(21.47%),0.00%
EBITA,,454.11%,(18.94%),(47.70%),0.00%
EBIT,,"1,070.17%",(19.18%),(51.78%),0.00%
EBITDAR,,,,(11.64%),
Effective Tax Rate,,,,,0.00%
Normalized Net Income,-90.17%,,(10.56%),(71.72%),0.00%
Interest Capitalized,(16.28%),2.78%,24.32%,(17.39%),
Interest on Long-Term Debt,4.38%,25.24%,4.75%,9.73%,
R&D Expense From Footnotes,(18.98%),4.25%,19.92%,23.09%,0.00%
Foreign Sales,6.72%,35.97%,8.23%,8.06%,
