Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,759.9,840.9,935.3,1086.4,1116.7,1116.7
Total Revenues,759.9,840.9,935.3,1086.4,1116.7,1116.7
Cost Of Revenues,400.7,441.5,495.7,569.5,574.2,574.2
Gross Profit,359.2,399.4,439.6,516.9,542.5,542.5
Selling General & Admin Expenses,165.2,175.9,207.6,256.6,259.6,259.6
R&D Expenses,43.2,47.3,63.3,81.3,88.4,88.4
Total Operating Expenses,221.5,236.6,287.1,359.4,369.6,369.6
Operating Income,137.7,162.8,152.5,157.5,172.9,172.9
Interest Expense,(1.9),(0.8),(0.8),(1.8),(0.6),(0.6)
Net Interest Expenses,(1.9),(0.8),(0.8),(1.8),(0.6),(0.6)
Other Non Operating Income (Expenses),(0.1),1.5,4.1,5.2,2.7,2.7
"EBT, Excl. Unusual Items",135.7,163.5,155.9,160.9,175.0,175.0
"EBT, Incl. Unusual Items",135.7,163.5,155.9,159.8,175.0,175.0
Income Tax Expense,22.0,(6.1),8.4,13.3,(19.8),(19.8)
Earnings From Continuing Operations,113.7,169.6,147.5,146.5,194.8,194.8
Net Income to Company,113.7,169.6,147.5,146.5,194.8,194.8
Net Income,113.7,169.6,147.5,146.5,194.8,194.8
NI to Common Incl Extra Items,113.7,169.6,147.5,146.5,194.8,194.8
NI to Common Excl. Extra Items,113.7,169.6,147.5,146.5,194.8,194.8
Revenue Per Share,$20.85,$22.56,$24.33,$28.12,$27.89,$27.89
Basic EPS,$3.12,$4.55,$3.84,$3.79,$4.87,$4.87
Basic EPS - Continuing Ops,$3.12,$4.55,$3.84,$3.79,$4.87,$4.87
Basic Weighted Average Shares Outst.,36.4,37.3,38.4,38.6,40.0,40.0
Diluted EPS,$2.92,$4.32,$3.68,$3.65,$4.69,$4.69
Diluted EPS - Continuing Ops,$2.92,$4.32,$3.68,$3.65,$4.69,$4.69
Diluted Weighted Average Shares Outst.,39.0,39.2,40.1,40.1,41.5,41.5
Normalized Basic EPS,$2.33,$2.74,$2.53,$2.60,$2.73,$2.73
Normalized Diluted EPS,$2.18,$2.60,$2.43,$2.51,$2.63,$2.63
EBITDA,165.2,194.5,191.3,203.2,221.4,221.4
EBITA,151.3,176.6,169.1,179.3,194.9,194.9
EBIT,137.7,162.8,152.5,157.5,172.9,172.9
EBITDAR,171.9,,198.7,213.1,231.6,231.6
Effective Tax Rate,16.2%,NM,5.4%,8.3%,NM,NM
Normalized Net Income,84.8,102.2,97.4,100.6,109.4,109.4
R&D Expense From Footnotes,43.2,47.3,63.3,81.6,89.6,89.6
