Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,4833.3,4989.2,5193.2,5267.1,4474.7,4474.7
Total Revenues,4833.3,4989.2,5193.2,5267.1,4474.7,4474.7
Cost Of Revenues,2584.7,2732.8,2831.9,2796.6,2302.2,2302.2
Gross Profit,2248.6,2256.5,2361.3,2470.5,2172.5,2172.5
Selling General & Admin Expenses,1818.1,2091.3,2176.2,2222.2,2172.9,2172.9
Total Operating Expenses,1831.1,2099.5,2182.3,2228.3,2179.9,2179.9
Operating Income,417.5,157.0,178.9,242.3,(7.5),(7.5)
Interest Expense,(26.4),(34.5),(33.6),(21.2),(47.3),(47.3)
Net Interest Expenses,(26.4),(34.5),(33.6),(21.2),(47.3),(47.3)
Currency Exchange Gains (Loss),(3.6),,(12.2),(5.3),(2.1),(2.1)
Other Non Operating Income (Expenses),0.9,(3.6),2.9,(0.4),(9.0),(9.0)
"EBT, Excl. Unusual Items",388.3,118.8,137.1,167.7,(73.1),(73.1)
"EBT, Incl. Unusual Items",388.3,(10.3),(66.9),162.2,(499.8),(499.8)
Income Tax Expense,131.3,38.0,(20.6),70.0,49.4,49.4
Earnings From Continuing Operations,257.0,(48.3),(46.3),92.1,(549.2),(549.2)
Net Income to Company,257.0,(48.3),(46.3),92.1,(549.2),(549.2)
Net Income,257.0,(48.3),(46.3),92.1,(549.2),(549.2)
Preferred Dividend and Other Adjustments,59.0,,,,,
NI to Common Incl Extra Items,198.0,(48.3),(46.3),92.1,(549.2),(549.2)
NI to Common Excl. Extra Items,198.0,(48.3),(46.3),92.1,(549.2),(549.2)
Revenue Per Share,$11.08,$11.32,$11.65,$11.68,$9.85,$9.85
Basic EPS,$0.45,($0.11),($0.10),$0.20,($1.21),($1.21)
Basic EPS - Continuing Ops,$0.45,($0.11),($0.10),$0.20,($1.21),($1.21)
Basic Weighted Average Shares Outst.,436.3,440.7,445.8,451.0,454.1,454.1
Diluted EPS,$0.45,($0.11),($0.10),$0.20,($1.21),($1.21)
Diluted EPS - Continuing Ops,$0.45,($0.11),($0.10),$0.20,($1.21),($1.21)
Diluted Weighted Average Shares Outst.,444.8,440.7,445.8,454.3,454.1,454.1
Normalized Basic EPS,$0.56,$0.17,$0.19,$0.23,($0.10),($0.10)
Normalized Diluted EPS,$0.55,$0.17,$0.19,$0.23,($0.10),($0.10)
Payout Ratio,1.14%,,,,,
EBITDA,562.2,330.7,360.7,428.7,157.5,157.5
EBITA,430.5,165.2,185.0,248.4,(0.5),(0.5)
EBIT,417.5,157.0,178.9,242.3,(7.5),(7.5)
EBITDAR,671.2,471.9,513.4,595.1,314.2,314.2
Effective Tax Rate,33.8%,NM,NM,43.2%,NM,NM
Normalized Net Income,242.7,74.3,85.7,104.8,(45.7),(45.7)
Interest on Long-Term Debt,26.4,34.5,33.6,21.2,47.3,47.3
Foreign Sales,989.6,1362.6,1729.2,1872.7,1754.4,1754.4
