Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,34363.0,35574.0,38943.0,40804.0,13453.0,8937.0
Other Revenues,2195.0,2210.0,2360.0,2455.0,1902.0,1660.0
Total Revenues,36558.0,37784.0,41303.0,43259.0,15355.0,10597.0
Cost Of Revenues,22780.0,25013.0,28109.0,28477.0,18006.0,16136.0
Gross Profit,13778.0,12771.0,13194.0,14782.0,"(2,651.0)","(5,539.0)"
Selling General & Admin Expenses,1615.0,1652.0,1769.0,1863.0,546.0,336.0
Depreciation & Amortization,1977.0,2096.0,2165.0,2288.0,2488.0,2496.0
Other Operating Expense/(Income),5097.0,5333.0,5590.0,6063.0,3399.0,2820.0
Total Operating Expenses,8689.0,9081.0,9524.0,10214.0,6433.0,5652.0
Operating Income,5089.0,3690.0,3670.0,4568.0,"(9,084.0)","(11,191.0)"
Interest Expense,(602.0),(552.0),(605.0),(646.0),(992.0),"(1,178.0)"
Interest And Investment Income,42.0,57.0,101.0,133.0,50.0,31.0
Net Interest Expenses,(560.0),(495.0),(504.0),(513.0),(942.0),"(1,147.0)"
Other Non Operating Income (Expenses),(12.0),4.0,(26.0),(48.0),(14.0),33.0
"EBT, Excl. Unusual Items",4517.0,3199.0,3140.0,4007.0,"(10,040.0)","(12,305.0)"
"EBT, Incl. Unusual Items",3773.0,3023.0,2648.0,3914.0,"(8,822.0)","(8,459.0)"
Income Tax Expense,1539.0,880.0,526.0,905.0,"(1,753.0)","(1,737.0)"
Earnings From Continuing Operations,2234.0,2143.0,2122.0,3009.0,"(7,069.0)","(6,722.0)"
Net Income to Company,2234.0,2143.0,2122.0,3009.0,"(7,069.0)","(6,722.0)"
Net Income,2234.0,2143.0,2122.0,3009.0,"(7,069.0)","(6,722.0)"
NI to Common Incl Extra Items,2234.0,2143.0,2122.0,3009.0,"(7,069.0)","(6,722.0)"
NI to Common Excl. Extra Items,2234.0,2143.0,2122.0,3009.0,"(7,069.0)","(6,722.0)"
Revenue Per Share,$110.82,$124.82,$149.92,$167.15,$54.96,$35.75
Basic EPS,$6.77,$7.08,$7.70,$11.63,($25.30),($22.68)
Basic EPS - Continuing Ops,$6.77,$7.08,$7.70,$11.63,($25.30),($22.68)
Basic Weighted Average Shares Outst.,329.9,302.7,275.5,258.8,279.4,296.4
Diluted EPS,$6.76,$7.06,$7.67,$11.58,($25.30),($22.68)
Diluted EPS - Continuing Ops,$6.76,$7.06,$7.67,$11.58,($25.30),($22.68)
Diluted Weighted Average Shares Outst.,330.3,303.6,276.7,259.9,279.4,296.4
Normalized Basic EPS,$8.56,$6.61,$7.12,$9.68,($22.46),($25.94)
Normalized Diluted EPS,$8.55,$6.59,$7.09,$9.64,($22.46),($25.94)
EBITDA,6958.0,5669.0,5713.0,6721.0,"(6,768.0)","(8,867.0)"
EBITA,5179.0,3769.0,3737.0,4628.0,"(9,029.0)","(11,136.0)"
EBIT,5089.0,3690.0,3670.0,4568.0,"(9,084.0)","(11,191.0)"
EBITDAR,9277.0,9275.0,9457.0,10275.0,"(3,890.0)",
Effective Tax Rate,40.8%,29.1%,19.9%,23.1%,NM,NM
Normalized Net Income,2823.1,1999.4,1962.5,2504.4,"(6,275.0)","(7,690.6)"
Interest Capitalized,72.0,74.0,65.0,85.0,71.0,
Interest on Long-Term Debt,,98.0,109.0,170.0,87.0,
Foreign Sales,14407.0,14670.0,41303.0,43259.0,15355.0,
