Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,3.52%,9.47%,4.78%,(67.03%),(77.16%)
Other Revenues,0.68%,6.79%,4.03%,(22.53%),(34.31%)
Total Revenues,3.35%,9.31%,4.74%,(64.50%),(74.56%)
Cost Of Revenues,9.80%,12.38%,1.31%,(36.77%),(42.99%)
Gross Profit,(7.31%),3.31%,12.04%,,
Selling General & Admin Expenses,2.29%,7.08%,5.31%,(70.69%),(81.31%)
Depreciation & Amortization,6.02%,3.29%,5.68%,8.74%,5.94%
Other Operating Expense/(Income),4.63%,4.82%,8.46%,(43.94%),(53.06%)
Total Operating Expenses,4.51%,4.88%,7.24%,(37.02%),(44.38%)
Operating Income,(27.49%),(0.54%),24.47%,,
Interest Expense,-8.31%,(9.60%),(6.78%),(53.56%),(86.98%)
Interest And Investment Income,35.71%,77.19%,31.68%,(62.41%),(76.15%)
Net Interest Expenses,-11.61%,(1.82%),(1.79%),(83.63%),(129.40%)
Other Non Operating Income (Expenses),,,(84.62%),-70.83%,
"EBT, Excl. Unusual Items",(29.18%),(1.84%),27.61%,,
"EBT, Incl. Unusual Items",(19.88%),(12.40%),47.81%,,
Income Tax Expense,(42.82%),(40.23%),72.05%,,
Earnings From Continuing Operations,(4.07%),(0.98%),41.80%,,
Net Income to Company,(4.07%),(0.98%),41.80%,,
Net Income,(4.07%),(0.98%),41.80%,,
NI to Common Incl Extra Items,(4.07%),(0.98%),41.80%,,
NI to Common Excl. Extra Items,(4.07%),(0.98%),41.80%,,
Revenue Per Share,12.64%,20.11%,11.49%,(67.12%),(78.18%)
Basic EPS,4.57%,8.79%,51.00%,,
Basic EPS - Continuing Ops,4.57%,8.79%,51.00%,,
Basic Weighted Average Shares Outst.,(8.24%),(8.99%),(6.06%),7.96%,16.62%
Diluted EPS,4.44%,8.64%,50.98%,,
Diluted EPS - Continuing Ops,4.44%,8.64%,50.98%,,
Diluted Weighted Average Shares Outst.,(8.08%),(8.86%),(6.07%),7.50%,16.27%
Normalized Basic EPS,(22.84%),7.77%,35.91%,,
Normalized Diluted EPS,(22.98%),7.63%,35.91%,,
EBITDA,(18.53%),0.78%,17.64%,,
EBITA,(27.23%),(0.85%),23.84%,,
EBIT,(27.49%),(0.54%),24.47%,,
EBITDAR,(0.02%),1.96%,8.65%,,
Effective Tax Rate,(28.63%),(31.76%),16.43%,(14.05%),(29.94%)
Normalized Net Income,(29.18%),(1.84%),27.61%,,
Interest Capitalized,2.78%,(12.16%),30.77%,(16.47%),
Interest on Long-Term Debt,,11.22%,55.96%,(48.82%),
Foreign Sales,1.83%,181.55%,4.74%,(64.50%),
