Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,3.23%,4.09%,1.42%,(15.05%),0.00%
Total Revenues,3.23%,4.09%,1.42%,(15.05%),0.00%
Cost Of Revenues,5.73%,3.63%,(1.25%),(17.68%),0.00%
Gross Profit,0.35%,4.64%,4.63%,(12.06%),0.00%
Selling General & Admin Expenses,15.03%,4.06%,2.11%,(2.22%),0.00%
Total Operating Expenses,14.66%,3.94%,2.10%,(2.17%),0.00%
Operating Income,(62.40%),13.99%,35.40%,,0.00%
Interest Expense,(30.66%),-2.81%,-36.73%,(122.50%),0.00%
Net Interest Expenses,(30.66%),-2.81%,-36.73%,(122.50%),0.00%
Currency Exchange Gains (Loss),,,-56.63%,-59.24%,0.00%
Other Non Operating Income (Expenses),,,,"(2,057.18%)",0.00%
"EBT, Excl. Unusual Items",(69.40%),15.38%,22.30%,,0.00%
"EBT, Incl. Unusual Items",,(548.50%),,,0.00%
Income Tax Expense,(71.10%),,,(29.47%),0.00%
Earnings From Continuing Operations,,-4.06%,,,0.00%
Net Income to Company,,-4.06%,,,0.00%
Net Income,,-4.06%,,,0.00%
NI to Common Incl Extra Items,,-4.06%,,,0.00%
NI to Common Excl. Extra Items,,-4.06%,,,0.00%
Revenue Per Share,2.17%,2.90%,0.26%,(15.63%),0.00%
Basic EPS,,-5.58%,,,0.00%
Basic EPS - Continuing Ops,,-5.58%,,,0.00%
Basic Weighted Average Shares Outst.,1.01%,1.15%,1.15%,0.69%,0.00%
Diluted EPS,,-5.58%,,,0.00%
Diluted EPS - Continuing Ops,,-5.58%,,,0.00%
Diluted Weighted Average Shares Outst.,(0.93%),1.15%,1.90%,(0.04%),0.00%
Normalized Basic EPS,(69.91%),13.06%,22.30%,,0.00%
Normalized Diluted EPS,(69.36%),13.06%,21.41%,,0.00%
EBITDA,(41.18%),9.07%,18.85%,(63.26%),0.00%
EBITA,(61.63%),12.03%,34.23%,,0.00%
EBIT,(62.40%),13.99%,35.40%,,0.00%
EBITDAR,(29.69%),8.79%,15.91%,(47.20%),
Effective Tax Rate,,,,,0.00%
Normalized Net Income,(69.40%),15.38%,22.30%,,0.00%
Interest on Long-Term Debt,30.68%,(2.61%),(36.90%),123.11%,
Foreign Sales,37.69%,26.90%,8.30%,(6.32%),
