Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,18601.0,19837.0,21384.0,20243.0,18251.0,18020.0
Other Revenues,1340.0,1403.0,1448.0,1465.0,1282.0,1285.0
Total Revenues,19941.0,21240.0,22832.0,21708.0,19533.0,19305.0
Cost Of Revenues,9634.0,10040.0,11089.0,9841.0,8100.0,8000.0
Gross Profit,10307.0,11200.0,11743.0,11867.0,11433.0,11305.0
Depreciation & Amortization,2038.0,2105.0,2191.0,2216.0,2210.0,2212.0
Other Operating Expense/(Income),997.0,948.0,1022.0,1060.0,1345.0,1367.0
Total Operating Expenses,3035.0,3053.0,3213.0,3276.0,3555.0,3579.0
Operating Income,7272.0,8147.0,8530.0,8591.0,7878.0,7726.0
Interest Expense,(698.0),(719.0),(870.0),"(1,050.0)","(1,141.0)","(1,153.0)"
Interest And Investment Income,11.0,16.0,30.0,32.0,12.0,7.0
Net Interest Expenses,(687.0),(703.0),(840.0),"(1,018.0)","(1,129.0)","(1,146.0)"
Other Non Operating Income (Expenses),87.0,98.0,106.0,125.0,116.0,123.0
"EBT, Excl. Unusual Items",6672.0,7542.0,7796.0,7698.0,6865.0,6703.0
"EBT, Incl. Unusual Items",6766.0,7632.0,7741.0,7747.0,6980.0,6816.0
Income Tax Expense,2533.0,"(3,080.0)",1775.0,1828.0,1631.0,1600.0
Earnings From Continuing Operations,4233.0,10712.0,5966.0,5919.0,5349.0,5216.0
Net Income to Company,4233.0,10712.0,5966.0,5919.0,5349.0,5216.0
Net Income,4233.0,10712.0,5966.0,5919.0,5349.0,5216.0
NI to Common Incl Extra Items,4233.0,10712.0,5966.0,5919.0,5349.0,5216.0
NI to Common Excl. Extra Items,4233.0,10712.0,5966.0,5919.0,5349.0,5216.0
Revenue Per Share,$23.96,$26.60,$30.41,$30.86,$28.84,$28.68
Basic EPS,$5.09,$13.42,$7.95,$8.41,$7.90,$7.75
Basic EPS - Continuing Ops,$5.09,$13.42,$7.95,$8.41,$7.90,$7.75
Basic Weighted Average Shares Outst.,832.4,798.4,750.9,703.5,677.3,673.1
Diluted EPS,$5.07,$13.36,$7.91,$8.38,$7.88,$7.73
Diluted EPS - Continuing Ops,$5.07,$13.36,$7.91,$8.38,$7.88,$7.73
Diluted Weighted Average Shares Outst.,835.4,801.7,754.3,706.1,679.1,674.9
Normalized Basic EPS,$5.01,$5.90,$6.49,$6.84,$6.33,$6.22
Normalized Diluted EPS,$4.99,$5.88,$6.46,$6.81,$6.32,$6.21
Dividend Per Share,$2.26,$2.48,$3.06,$3.70,$3.88,$3.88
Payout Ratio,44.39%,18.50%,38.54%,43.89%,49.09%,50.15%
EBITDA,9310.0,10252.0,10721.0,10807.0,10088.0,9938.0
EBITA,7272.0,8147.0,8530.0,8591.0,7878.0,7726.0
EBIT,7272.0,8147.0,8530.0,8591.0,7878.0,7726.0
EBITDAR,9845.0,11140.0,11793.0,11152.0,10375.0,
Effective Tax Rate,37.4%,NM,22.9%,23.6%,23.4%,23.5%
Normalized Net Income,4170.0,4713.8,4872.5,4811.3,4290.6,4189.4
Interest on Long-Term Debt,,,,34.0,27.0,
Foreign Sales,2200.0,2300.0,2500.0,2300.0,2100.0,
