Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,13166.0,26535.0,26425.0,26998.0,25285.0,25285.0
Total Revenues,13166.0,26535.0,26425.0,26998.0,25285.0,25285.0
Cost Of Revenues,7956.0,15483.0,15399.0,16124.0,14992.0,14992.0
Gross Profit,5210.0,11052.0,11026.0,10874.0,10293.0,10293.0
Selling General & Admin Expenses,2124.0,5252.0,5113.0,5580.0,5389.0,5389.0
Depreciation & Amortization,225.0,443.0,427.0,418.0,393.0,393.0
Other Operating Expense/(Income),9.0,,,,5.0,5.0
Total Operating Expenses,2358.0,5695.0,5540.0,5998.0,5787.0,5787.0
Operating Income,2852.0,5357.0,5486.0,4876.0,4506.0,4506.0
Interest Expense,(411.0),"(1,088.0)","(1,030.0)",(962.0),"(1,031.0)","(1,031.0)"
Interest And Investment Income,32.0,87.0,79.0,66.0,60.0,60.0
Net Interest Expenses,(379.0),"(1,001.0)",(951.0),(896.0),(971.0),(971.0)
Currency Exchange Gains (Loss),(12.0),(20.0),(19.0),(18.0),(35.0),(35.0)
Other Non Operating Income (Expenses),,19.0,(8.0),5.0,3.0,3.0
"EBT, Excl. Unusual Items",2411.0,4359.0,4461.0,3914.0,3475.0,3475.0
"EBT, Incl. Unusual Items",2180.0,4124.0,3937.0,3170.0,3119.0,3119.0
Income Tax Expense,628.0,804.0,580.0,(29.0),535.0,535.0
Earnings From Continuing Operations,1552.0,3320.0,3357.0,3199.0,2584.0,2584.0
Earnings Of Discontinued Operations,(291.0),(947.0),135.0,140.0,117.0,117.0
Net Income to Company,1261.0,2373.0,3492.0,3339.0,2701.0,2701.0
Minority Interest,,(52.0),(37.0),(31.0),(279.0),(279.0)
Net Income,1261.0,2321.0,3455.0,3308.0,2422.0,2422.0
NI to Common Incl Extra Items,1261.0,2321.0,3455.0,3308.0,2422.0,2422.0
NI to Common Excl. Extra Items,1552.0,3268.0,3320.0,3168.0,2305.0,2305.0
Revenue Per Share,$29.65,$41.46,$42.83,$43.90,$41.05,$41.05
Basic EPS,$2.84,$3.63,$5.60,$5.38,$3.93,$3.93
Basic EPS - Continuing Ops,$3.50,$5.11,$5.38,$5.15,$3.74,$3.74
Basic Weighted Average Shares Outst.,444.0,640.0,617.0,615.0,616.0,616.0
Diluted EPS,$2.81,$3.59,$5.57,$5.36,$3.92,$3.92
Diluted EPS - Continuing Ops,$3.46,$5.05,$5.35,$5.13,$3.73,$3.73
Diluted Weighted Average Shares Outst.,448.0,647.0,621.0,617.0,618.0,618.0
Normalized Basic EPS,$3.39,$4.18,$4.46,$3.93,$3.07,$3.07
Normalized Diluted EPS,$3.36,$4.13,$4.43,$3.91,$3.06,$3.06
Dividend Per Share,$0.66,$0.72,$0.72,$0.78,$0.96,$0.96
Payout Ratio,22.84%,26.54%,17.34%,17.99%,24.77%,24.77%
EBITDA,3077.0,5800.0,5913.0,5294.0,4899.0,4899.0
EBITA,2872.0,5405.0,5536.0,4932.0,4566.0,4566.0
EBIT,2852.0,5357.0,5486.0,4876.0,4506.0,4506.0
EBITDAR,3244.0,6249.0,,5343.0,4933.0,4933.0
Effective Tax Rate,28.8%,19.5%,14.7%,NM,17.2%,17.2%
Normalized Net Income,1506.9,2672.4,2751.1,2415.3,1892.9,1892.9
Interest on Long-Term Debt,,,,3.0,2.0,2.0
Foreign Sales,1849.0,5883.0,5983.0,5549.0,4595.0,4595.0
