Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,70166.0,88407.0,111407.0,102729.0,60115.0,58819.0
Total Revenues,70166.0,88407.0,111407.0,102729.0,60115.0,58819.0
Cost Of Revenues,63973.0,81968.0,103796.0,96198.0,58849.0,55879.0
Gross Profit,6193.0,6439.0,7611.0,6531.0,1266.0,2940.0
Selling General & Admin Expenses,671.0,793.0,904.0,819.0,724.0,755.0
Depreciation & Amortization,1894.0,1986.0,2069.0,2255.0,2321.0,2317.0
Other Operating Expense/(Income),,61.0,45.0,(428.0),(262.0),(226.0)
Total Operating Expenses,2565.0,2840.0,3018.0,2646.0,2783.0,2846.0
Operating Income,3628.0,3599.0,4593.0,3885.0,"(1,517.0)",94.0
Interest Expense,(446.0),(468.0),(470.0),(454.0),(563.0),(587.0)
Net Interest Expenses,(446.0),(468.0),(470.0),(454.0),(563.0),(587.0)
Currency Exchange Gains (Loss),,,(43.0),75.0,(13.0),(13.0)
Other Non Operating Income (Expenses),56.0,76.0,189.0,9.0,113.0,126.0
"EBT, Excl. Unusual Items",3238.0,3207.0,4269.0,3515.0,"(1,980.0)",(380.0)
"EBT, Incl. Unusual Items",3182.0,3207.0,4232.0,3486.0,"(2,010.0)",(410.0)
Income Tax Expense,765.0,(949.0),879.0,702.0,(903.0),(435.0)
Earnings From Continuing Operations,2417.0,4156.0,3353.0,2784.0,"(1,107.0)",25.0
Net Income to Company,2417.0,4156.0,3353.0,2784.0,"(1,107.0)",25.0
Minority Interest,(128.0),(91.0),(231.0),(362.0),(314.0),(299.0)
Net Income,2289.0,4065.0,3122.0,2422.0,"(1,421.0)",(274.0)
Preferred Dividend and Other Adjustments,7.0,14.0,9.0,7.0,5.0,5.0
NI to Common Incl Extra Items,2282.0,4051.0,3113.0,2415.0,"(1,426.0)",(279.0)
NI to Common Excl. Extra Items,2282.0,4051.0,3113.0,2415.0,"(1,426.0)",(279.0)
Revenue Per Share,$152.20,$200.02,$261.52,$248.74,$147.70,$144.61
Basic EPS,$4.95,$9.17,$7.31,$5.85,($3.50),($0.69)
Basic EPS - Continuing Ops,$4.95,$9.17,$7.31,$5.85,($3.50),($0.69)
Basic Weighted Average Shares Outst.,461.0,442.0,426.0,413.0,407.0,406.8
Diluted EPS,$4.93,$9.16,$7.29,$5.85,($3.50),($0.69)
Diluted EPS - Continuing Ops,$4.93,$9.16,$7.29,$5.85,($3.50),($0.69)
Diluted Weighted Average Shares Outst.,464.0,444.0,428.0,414.0,407.0,406.8
Normalized Basic EPS,$4.11,$4.33,$5.72,$4.44,($3.81),($1.32)
Normalized Diluted EPS,$4.09,$4.31,$5.69,$4.43,($3.81),($1.32)
Dividend Per Share,$2.40,$2.80,$3.20,$3.60,$3.92,$3.92
Payout Ratio,48.54%,30.55%,43.85%,61.60%,NM,
EBITDA,5522.0,5585.0,6662.0,6140.0,804.0,2413.3
EBITA,3628.0,4249.0,5261.0,4644.0,(769.0),94.0
EBIT,3628.0,3599.0,4593.0,3885.0,"(1,517.0)",94.0
EBITDAR,6300.0,6243.0,7165.0,,,
Effective Tax Rate,24.0%,NM,20.8%,20.1%,NM,NM
Normalized Net Income,1895.8,1913.4,2437.1,1834.9,"(1,551.5)",(536.5)
Interest Capitalized,65.0,71.0,87.0,90.0,75.0,
Interest on Long-Term Debt,511.0,539.0,557.0,544.0,638.0,
Foreign Sales,24180.0,27366.0,34041.0,31151.0,19738.0,
