Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,26.00%,26.02%,(7.79%),(41.48%),(41.49%)
Total Revenues,26.00%,26.02%,(7.79%),(41.48%),(41.49%)
Cost Of Revenues,28.13%,26.63%,(7.32%),(38.83%),(42.19%)
Gross Profit,3.97%,18.20%,(14.19%),(80.62%),(23.95%)
Selling General & Admin Expenses,18.18%,14.00%,(9.40%),(11.60%),(5.15%)
Depreciation & Amortization,4.86%,4.18%,8.99%,2.93%,1.36%
Other Operating Expense/(Income),,(26.23%),,-38.79%,-55.42%
Total Operating Expenses,10.72%,6.27%,(12.33%),5.18%,10.52%
Operating Income,(0.80%),27.62%,(15.41%),,(92.72%)
Interest Expense,(4.93%),(0.43%),-3.40%,(24.01%),(25.70%)
Net Interest Expenses,(4.93%),(0.43%),-3.40%,(24.01%),(25.70%)
Currency Exchange Gains (Loss),,,,,-86.60%
Other Non Operating Income (Expenses),35.71%,148.68%,(95.24%),"1,155.56%",(26.74%)
"EBT, Excl. Unusual Items",(0.96%),33.12%,(17.66%),,
"EBT, Incl. Unusual Items",0.79%,31.96%,(17.63%),,
Income Tax Expense,,,(20.14%),,
Earnings From Continuing Operations,71.95%,(19.32%),(16.97%),,(97.10%)
Net Income to Company,71.95%,(19.32%),(16.97%),,(97.10%)
Minority Interest,-28.91%,(153.85%),(56.71%),-13.26%,-30.95%
Net Income,77.59%,(23.20%),(22.42%),,
Preferred Dividend and Other Adjustments,100.00%,(35.71%),(22.22%),(28.57%),0.00%
NI to Common Incl Extra Items,77.52%,(23.15%),(22.42%),,
NI to Common Excl. Extra Items,77.52%,(23.15%),(22.42%),,
Revenue Per Share,31.42%,30.75%,(4.89%),(40.62%),(40.88%)
Basic EPS,85.15%,(20.31%),(20.01%),,
Basic EPS - Continuing Ops,85.15%,(20.31%),(20.01%),,
Basic Weighted Average Shares Outst.,(4.12%),(3.62%),(3.05%),(1.45%),(1.03%)
Diluted EPS,85.71%,(20.37%),(19.79%),,
Diluted EPS - Continuing Ops,85.71%,(20.37%),(19.79%),,
Diluted Weighted Average Shares Outst.,(4.31%),(3.60%),(3.27%),(1.69%),(1.15%)
Normalized Basic EPS,5.33%,32.12%,(22.33%),,
Normalized Diluted EPS,5.36%,32.12%,(22.11%),,
Dividend Per Share,16.67%,14.29%,12.50%,8.89%,6.52%
Payout Ratio,(37.06%),43.54%,40.48%,,
EBITDA,1.14%,19.28%,(7.84%),(86.91%),(32.53%)
EBITA,17.12%,23.82%,(11.73%),,(95.41%)
EBIT,(0.80%),27.62%,(15.41%),,(92.72%)
EBITDAR,(0.90%),14.77%,,,
Effective Tax Rate,,,(3.04%),123.07%,"2,622.19%"
Normalized Net Income,0.93%,27.37%,(24.71%),,
Interest Capitalized,9.23%,22.54%,3.45%,(16.67%),
Interest on Long-Term Debt,5.48%,3.34%,(2.33%),17.28%,
Foreign Sales,13.18%,24.39%,(8.49%),(36.64%),
