Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,3592.7,3890.3,4382.9,4929.1,4856.8,4856.8
Total Revenues,3592.7,3890.3,4382.9,4929.1,4856.8,4856.8
Cost Of Revenues,2603.8,2896.8,3281.9,3673.2,3575.3,3575.3
Gross Profit,988.9,993.5,1100.9,1255.9,1281.5,1281.5
Selling General & Admin Expenses,303.1,327.9,339.3,372.1,368.2,368.2
Other Operating Expense/(Income),8.4,21.8,16.3,11.3,11.6,11.6
Total Operating Expenses,311.4,349.7,355.6,383.4,379.8,379.8
Operating Income,677.5,643.8,745.4,872.5,901.7,901.7
Interest Expense,(134.1),(295.5),(138.0),(130.2),(136.0),(136.0)
Interest And Investment Income,0.8,4.4,0.6,1.2,1.6,1.6
Net Interest Expenses,(133.3),(291.1),(137.4),(129.0),(134.4),(134.4)
Other Non Operating Income (Expenses),0.9,16.3,18.9,10.8,13.7,13.7
"EBT, Excl. Unusual Items",545.1,369.0,626.8,754.2,780.9,780.9
"EBT, Incl. Unusual Items",547.3,361.3,623.3,757.7,743.8,743.8
Income Tax Expense,124.9,(232.1),105.4,135.2,155.8,155.8
Earnings From Continuing Operations,422.4,593.4,517.8,622.5,588.0,588.0
Earnings Of Discontinued Operations,(2.9),7.8,(2.0),(4.8),(3.5),(3.5)
Net Income to Company,419.5,601.2,515.8,617.7,584.5,584.5
Net Income,419.5,601.2,515.8,617.7,584.5,584.5
NI to Common Incl Extra Items,419.5,601.2,515.8,617.7,584.5,584.5
NI to Common Excl. Extra Items,422.4,593.4,517.8,622.5,588.0,588.0
Revenue Per Share,$26.97,$29.36,$33.10,$37.26,$36.63,$36.63
Basic EPS,$3.15,$4.54,$3.90,$4.67,$4.41,$4.41
Basic EPS - Continuing Ops,$3.17,$4.48,$3.91,$4.71,$4.44,$4.44
Basic Weighted Average Shares Outst.,133.2,132.5,132.4,132.3,132.6,132.6
Diluted EPS,$3.09,$4.46,$3.85,$4.63,$4.38,$4.38
Diluted EPS - Continuing Ops,$3.11,$4.40,$3.87,$4.67,$4.41,$4.41
Diluted Weighted Average Shares Outst.,135.8,134.9,133.9,133.4,133.2,133.2
Normalized Basic EPS,$2.56,$1.74,$2.96,$3.56,$3.68,$3.68
Normalized Diluted EPS,$2.51,$1.71,$2.93,$3.53,$3.66,$3.66
Dividend Per Share,$0.80,$1.00,$1.12,$1.24,$1.36,$1.36
Payout Ratio,25.35%,22.01%,28.71%,26.55%,30.83%,30.83%
EBITDA,962.4,949.8,1091.6,1213.6,1298.5,1298.5
EBITA,706.1,679.0,791.1,924.0,960.7,960.7
EBIT,677.5,643.8,745.4,872.5,901.7,901.7
EBITDAR,1072.4,1060.1,1222.6,1316.2,1397.7,1397.7
Effective Tax Rate,22.8%,NM,16.9%,17.8%,20.9%,20.9%
Normalized Net Income,340.7,230.6,391.8,471.4,488.1,488.1
Interest Capitalized,7.5,5.2,3.7,3.9,3.5,3.5
Interest on Long-Term Debt,,,,0.0,0.1,0.1
Foreign Sales,13.2,17.8,17.6,16.1,11.0,11.0
