Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,7.52%,11.65%,8.85%,6.81%,0.00%
Total Revenues,7.52%,11.65%,8.85%,6.81%,0.00%
Cost Of Revenues,11.99%,13.06%,10.22%,1.75%,0.00%
Gross Profit,5.10%,10.83%,8.05%,9.84%,0.00%
Selling General & Admin Expenses,5.33%,19.37%,26.06%,(13.42%),0.00%
Depreciation & Amortization,13.85%,21.90%,12.34%,3.50%,0.00%
Total Operating Expenses,8.17%,21.67%,18.70%,(3.68%),0.00%
Operating Income,3.10%,3.42%,(0.54%),22.84%,0.00%
Interest Expense,-0.50%,(8.63%),-2.24%,(8.99%),0.00%
Interest And Investment Income,100.00%,66.30%,,,
Net Interest Expenses,-4.51%,(3.81%),(10.84%),(8.99%),0.00%
"EBT, Excl. Unusual Items",4.41%,3.35%,(2.34%),25.33%,0.00%
"EBT, Incl. Unusual Items",5.71%,4.15%,(21.02%),57.90%,0.00%
Income Tax Expense,(32.79%),(10.96%),(2.07%),55.95%,0.00%
Earnings From Continuing Operations,22.95%,7.85%,(24.85%),58.41%,0.00%
Net Income to Company,(6.11%),7.85%,(24.85%),58.41%,0.00%
Net Income,(6.11%),7.85%,(24.85%),58.41%,0.00%
NI to Common Incl Extra Items,(6.11%),7.85%,(24.85%),58.41%,0.00%
NI to Common Excl. Extra Items,22.95%,7.85%,(24.85%),58.41%,0.00%
Revenue Per Share,9.51%,11.88%,9.72%,7.43%,0.00%
Basic EPS,(4.25%),8.12%,(24.21%),59.38%,0.00%
Basic EPS - Continuing Ops,25.40%,8.12%,(24.21%),59.38%,0.00%
Basic Weighted Average Shares Outst.,(1.83%),(0.22%),(0.77%),(0.57%),0.00%
Diluted EPS,(4.91%),8.21%,(24.16%),59.63%,0.00%
Diluted EPS - Continuing Ops,24.62%,8.21%,(24.16%),59.63%,0.00%
Diluted Weighted Average Shares Outst.,(1.45%),(0.23%),(1.03%),(0.74%),0.00%
Normalized Basic EPS,6.47%,3.60%,(1.40%),26.12%,0.00%
Normalized Diluted EPS,5.96%,3.41%,(1.39%),26.40%,0.00%
Dividend Per Share,,,,8.00%,0.00%
Payout Ratio,,,,(32.12%),0.00%
EBITDA,3.75%,5.97%,0.79%,19.32%,0.00%
EBITA,3.83%,6.22%,0.28%,22.46%,0.00%
EBIT,3.10%,3.42%,(0.54%),22.84%,0.00%
EBITDAR,3.55%,6.31%,1.08%,18.79%,
Effective Tax Rate,(36.41%),(14.53%),24.02%,(1.24%),0.00%
Normalized Net Income,4.41%,3.35%,(2.34%),25.33%,0.00%
Interest on Long-Term Debt,(0.50%),8.63%,(2.24%),8.99%,
R&D Expense From Footnotes,30.80%,33.65%,23.40%,4.51%,0.00%
Foreign Sales,3.21%,17.15%,10.23%,8.23%,
