Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,2.01%,4.28%,1.37%,2.71%,3.10%
Total Revenues,2.01%,4.28%,1.37%,2.71%,3.10%
Cost Of Revenues,(2.48%),(0.62%),(6.07%),(0.16%),0.57%
Gross Profit,2.95%,5.25%,2.77%,3.20%,3.53%
Selling General & Admin Expenses,6.79%,(6.68%),(6.73%),0.94%,3.03%
R&D Expenses,(11.43%),10.59%,5.05%,22.80%,25.14%
Total Operating Expenses,2.60%,(3.26%),(4.06%),6.37%,8.62%
Operating Income,3.08%,8.43%,5.05%,2.24%,2.00%
Interest Expense,(17.97%),-15.76%,-21.10%,-0.52%,-0.41%
Interest And Investment Income,189.84%,47.63%,0.40%,(70.62%),(84.74%)
Net Interest Expenses,(8.25%),-25.37%,-27.55%,(28.61%),(29.43%)
Other Non Operating Income (Expenses),,,622.62%,(87.57%),
"EBT, Excl. Unusual Items",1.28%,15.74%,11.26%,(1.86%),(2.32%)
"EBT, Incl. Unusual Items",3.07%,21.79%,4.01%,(1.12%),(1.58%)
Income Tax Expense,0.88%,3.71%,(0.37%),,
Earnings From Continuing Operations,3.77%,27.39%,5.12%,33.09%,(19.49%)
Net Income to Company,3.77%,27.39%,5.12%,33.09%,(19.49%)
Net Income,3.77%,27.39%,5.12%,33.09%,(19.49%)
NI to Common Incl Extra Items,3.77%,27.39%,5.12%,33.09%,(19.49%)
NI to Common Excl. Extra Items,3.77%,27.39%,5.12%,33.09%,(19.49%)
Revenue Per Share,8.84%,(7.76%),(2.96%),5.82%,6.19%
Basic EPS,10.62%,12.59%,0.71%,36.99%,(17.08%)
Basic EPS - Continuing Ops,10.62%,12.59%,0.71%,36.99%,(17.08%)
Basic Weighted Average Shares Outst.,(6.24%),13.08%,4.46%,(2.92%),(2.91%)
Diluted EPS,7.60%,29.08%,8.42%,37.28%,(16.84%)
Diluted EPS - Continuing Ops,7.60%,29.08%,8.42%,37.28%,(16.84%)
Diluted Weighted Average Shares Outst.,(3.61%),(1.22%),(3.01%),(3.08%),(3.08%)
Normalized Basic EPS,8.16%,2.26%,6.59%,1.01%,0.61%
Normalized Diluted EPS,5.05%,17.27%,14.75%,1.31%,0.78%
EBITDA,1.73%,7.68%,4.50%,2.12%,1.97%
EBITA,3.08%,8.43%,5.05%,2.24%,2.00%
EBIT,3.08%,8.43%,5.05%,2.24%,2.00%
Effective Tax Rate,(2.12%),(14.85%),(4.20%),,
Normalized Net Income,1.28%,15.74%,11.26%,(1.86%),(2.32%)
Interest on Long-Term Debt,18.13%,(16.36%),(21.79%),0.00%,
R&D Expense From Footnotes,(11.43%),10.59%,5.05%,22.80%,25.14%
Foreign Sales,(3.72%),0.19%,0.22%,0.29%,
