Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,46.20%,22.46%,36.59%,49.07%,0.00%
Total Revenues,46.20%,22.46%,36.59%,49.07%,0.00%
Cost Of Revenues,27.15%,14.14%,26.08%,11.45%,0.00%
Gross Profit,100.19%,37.43%,52.30%,95.64%,0.00%
Selling General & Admin Expenses,14.61%,12.40%,18.09%,17.00%,0.00%
Total Operating Expenses,14.61%,12.40%,18.09%,17.00%,0.00%
Operating Income,"3,408.03%",69.02%,81.04%,138.71%,0.00%
Interest Expense,-14.90%,(4.58%),-19.28%,-0.60%,0.00%
Interest And Investment Income,,226.46%,66.04%,(65.08%),0.00%
Net Interest Expenses,-29.33%,-40.71%,,,0.00%
Currency Exchange Gains (Loss),,-80.00%,(372.73%),(209.62%),0.00%
Other Non Operating Income (Expenses),"5,947.69%",,-90.21%,,0.00%
"EBT, Excl. Unusual Items",,85.55%,91.82%,134.48%,0.00%
"EBT, Incl. Unusual Items",-76.71%,,132.39%,123.44%,0.00%
Income Tax Expense,,"(1,285.40%)",,85.76%,0.00%
Earnings From Continuing Operations,,"2,177.63%",(43.62%),130.42%,0.00%
Net Income to Company,,"2,177.63%",(43.62%),130.42%,0.00%
Minority Interest,,(94.30%),,,
Net Income,,695.83%,(43.88%),130.42%,0.00%
Preferred Dividend and Other Adjustments,,70.99%,,,
NI to Common Incl Extra Items,,696.53%,(43.87%),130.42%,0.00%
NI to Common Excl. Extra Items,,696.53%,(43.87%),130.42%,0.00%
Revenue Per Share,43.68%,19.85%,35.35%,47.33%,0.00%
Basic EPS,,677.74%,(44.37%),127.86%,0.00%
Basic EPS - Continuing Ops,,677.74%,(44.37%),127.86%,0.00%
Basic Weighted Average Shares Outst.,1.71%,2.18%,0.96%,1.21%,0.00%
Diluted EPS,,677.74%,(44.25%),128.16%,0.00%
Diluted EPS - Continuing Ops,,677.74%,(44.25%),128.16%,0.00%
Diluted Weighted Average Shares Outst.,3.49%,2.35%,0.57%,1.04%,0.00%
Normalized Basic EPS,,2.49%,85.17%,131.33%,0.00%
Normalized Diluted EPS,,2.55%,85.90%,132.17%,0.00%
EBITDA,525.69%,62.12%,77.76%,127.58%,0.00%
EBITA,"3,408.03%",69.02%,81.04%,138.71%,0.00%
EBIT,"3,408.03%",69.02%,81.04%,138.71%,0.00%
EBITDAR,416.30%,59.20%,74.42%,128.06%,
Effective Tax Rate,,,,(16.89%),0.00%
Normalized Net Income,,4.83%,87.14%,134.48%,0.00%
Interest on Long-Term Debt,,,,(5.02%),
R&D Expense From Footnotes,50.80%,(8.51%),21.38%,4.27%,0.00%
Foreign Sales,31.94%,36.00%,61.21%,25.10%,
