Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,7.23%,(4.18%),0.90%,3.95%,0.00%
Other Revenues,34.52%,11.85%,(21.19%),(3.15%),0.00%
Total Revenues,7.50%,(3.98%),0.58%,3.87%,0.00%
Cost Of Revenues,14.03%,(1.00%),1.26%,3.13%,0.00%
Gross Profit,(0.45%),(8.12%),(0.44%),5.01%,0.00%
Selling General & Admin Expenses,9.04%,(6.50%),4.43%,27.23%,0.00%
R&D Expenses,(4.61%),(11.91%),(11.51%),(2.18%),0.00%
Total Operating Expenses,5.92%,(7.62%),1.29%,22.18%,0.00%
Operating Income,(10.40%),(9.06%),(3.70%),(28.91%),0.00%
Interest Expense,(17.55%),(1.44%),-4.61%,-3.77%,0.00%
Net Interest Expenses,(20.81%),(1.44%),-4.61%,-3.77%,0.00%
Currency Exchange Gains (Loss),(51.22%),(58.42%),(53.00%),,0.00%
Other Non Operating Income (Expenses),,(20.33%),2.08%,8.16%,0.00%
"EBT, Excl. Unusual Items",(20.31%),(15.00%),(2.71%),(42.79%),0.00%
"EBT, Incl. Unusual Items",641.99%,(66.95%),(48.26%),,0.00%
Income Tax Expense,,,,,0.00%
Earnings From Continuing Operations,45.00%,(49.35%),(95.23%),,0.00%
Net Income to Company,45.00%,(49.35%),(95.23%),,0.00%
Net Income,45.00%,(49.35%),(95.23%),,0.00%
NI to Common Incl Extra Items,45.00%,(49.35%),(95.23%),,0.00%
NI to Common Excl. Extra Items,45.00%,(49.35%),(95.23%),,0.00%
Revenue Per Share,3.19%,(0.25%),0.36%,(10.90%),0.00%
Basic EPS,38.53%,(47.30%),(95.28%),,0.00%
Basic EPS - Continuing Ops,38.53%,(47.30%),(95.28%),,0.00%
Basic Weighted Average Shares Outst.,4.19%,(3.74%),0.23%,16.58%,0.00%
Diluted EPS,41.30%,(47.69%),(95.59%),,0.00%
Diluted EPS - Continuing Ops,41.30%,(47.69%),(95.59%),,0.00%
Diluted Weighted Average Shares Outst.,3.11%,(3.76%),0.00%,16.40%,0.00%
Normalized Basic EPS,(23.50%),(11.39%),(2.72%),(51.05%),0.00%
Normalized Diluted EPS,(22.53%),(11.74%),(2.87%),(51.05%),0.00%
EBITDA,1.99%,0.08%,(3.05%),(11.44%),0.00%
EBITA,1.25%,0.34%,(2.58%),(13.47%),0.00%
EBIT,(10.40%),(9.06%),(3.70%),(28.91%),0.00%
EBITDAR,2.32%,(0.06%),(2.74%),(11.35%),
Effective Tax Rate,,,,(92.02%),0.00%
Normalized Net Income,(20.31%),(15.00%),(2.71%),(42.79%),0.00%
R&D Expense From Footnotes,(2.14%),(4.16%),(5.35%),(23.86%),0.00%
Foreign Sales,9.55%,(68.10%),(1.72%),0.34%,
