Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,6.54%,4.80%,(0.55%),(1.71%),0.00%
Total Revenues,6.54%,4.80%,(0.55%),(1.71%),0.00%
Cost Of Revenues,6.24%,4.80%,1.83%,(0.40%),0.00%
Gross Profit,6.74%,4.80%,(2.20%),(2.67%),0.00%
Selling General & Admin Expenses,6.32%,7.40%,(10.01%),0.24%,0.00%
R&D Expenses,5.92%,8.15%,(0.31%),(1.52%),0.00%
Total Operating Expenses,5.66%,7.62%,(7.75%),(0.01%),0.00%
Operating Income,7.86%,1.96%,3.70%,(5.19%),0.00%
Interest Expense,(26.56%),-14.42%,(0.10%),(0.78%),0.00%
Interest And Investment Income,74.41%,7.56%,(43.16%),(26.24%),0.00%
Net Interest Expenses,-14.30%,-52.63%,(170.82%),(23.16%),0.00%
Other Non Operating Income (Expenses),,,,-59.92%,0.00%
"EBT, Excl. Unusual Items",8.88%,3.73%,0.96%,(6.13%),0.00%
"EBT, Incl. Unusual Items",6.83%,6.40%,(0.57%),(9.93%),0.00%
Income Tax Expense,689.69%,(85.77%),(2.62%),3.84%,0.00%
Earnings From Continuing Operations,(96.11%),"2,823.51%",(0.27%),(11.93%),0.00%
Net Income to Company,(96.11%),"2,823.51%",(0.27%),(11.93%),0.00%
Net Income,(96.11%),"2,823.51%",(0.27%),(11.93%),0.00%
NI to Common Incl Extra Items,(96.11%),"2,823.51%",(0.27%),(11.93%),0.00%
NI to Common Excl. Extra Items,(96.11%),"2,823.51%",(0.27%),(11.93%),0.00%
Revenue Per Share,7.86%,8.61%,13.22%,7.03%,0.00%
Basic EPS,(96.06%),"2,984.96%",13.58%,(4.11%),0.00%
Basic EPS - Continuing Ops,(96.06%),"2,984.96%",13.58%,(4.11%),0.00%
Basic Weighted Average Shares Outst.,(1.23%),(3.51%),(12.16%),(8.18%),0.00%
Diluted EPS,(96.10%),"2,960.00%",13.59%,(3.80%),0.00%
Diluted EPS - Continuing Ops,(96.10%),"2,960.00%",13.59%,(3.80%),0.00%
Diluted Weighted Average Shares Outst.,(1.00%),(3.70%),(12.18%),(8.44%),0.00%
Normalized Basic EPS,10.23%,7.46%,15.02%,2.24%,0.00%
Normalized Diluted EPS,10.06%,7.63%,14.94%,2.52%,0.00%
EBITDA,8.13%,2.00%,2.81%,(2.08%),0.00%
EBITA,7.31%,2.65%,3.58%,(4.16%),0.00%
EBIT,7.86%,1.96%,3.70%,(5.19%),0.00%
EBITDAR,,,,(1.76%),
Effective Tax Rate,639.17%,(86.62%),(2.04%),15.24%,0.00%
Normalized Net Income,8.88%,3.73%,0.96%,(6.13%),0.00%
R&D Expense From Footnotes,9.91%,4.22%,(0.31%),(1.52%),0.00%
Foreign Sales,9.16%,5.89%,(1.27%),(1.59%),
