Income Statement,Jun 2017,Jun 2018,Jun 2019,Jul 2020,TTM
Revenues,46.94%,8.14%,(19.75%),1.01%,4.78%
Total Revenues,46.94%,8.14%,(19.75%),1.01%,4.78%
Cost Of Revenues,36.22%,(0.61%),(0.97%),1.08%,(3.08%)
Gross Profit,76.77%,26.89%,(51.30%),0.77%,41.65%
Selling General & Admin Expenses,44.93%,2.08%,(8.61%),(14.54%),(16.80%)
R&D Expenses,50.03%,(1.68%),(9.08%),3.62%,(0.90%)
Total Operating Expenses,48.09%,(0.28%),(8.90%),(3.31%),(6.73%)
Operating Income,169.54%,75.21%,(94.20%),65.77%,
Interest Expense,(218.42%),-20.19%,-30.62%,-11.94%,-24.03%
Interest And Investment Income,0.00%,130.77%,(5.00%),(50.88%),(74.47%)
Net Interest Expenses,(242.08%),-24.97%,-33.12%,-6.55%,-18.31%
Other Non Operating Income (Expenses),(398.63%),(151.10%),,(95.65%),(87.50%)
"EBT, Excl. Unusual Items",101.00%,129.77%,,-88.43%,
"EBT, Incl. Unusual Items",402.61%,171.13%,,-83.97%,
Income Tax Expense,,279.03%,(66.88%),(56.32%),
Earnings From Continuing Operations,64.05%,70.03%,,-66.84%,
Net Income to Company,64.05%,70.03%,,-66.84%,
Net Income,64.05%,70.03%,,-66.84%,
NI to Common Incl Extra Items,64.05%,70.03%,,-66.84%,
NI to Common Excl. Extra Items,64.05%,70.03%,,-66.84%,
Revenue Per Share,21.93%,4.85%,(18.38%),(1.02%),2.52%
Basic EPS,36.48%,64.69%,,-67.48%,
Basic EPS - Continuing Ops,36.48%,64.69%,,-67.48%,
Basic Weighted Average Shares Outst.,20.50%,3.13%,(1.68%),2.05%,2.20%
Diluted EPS,34.00%,64.18%,,-67.44%,
Diluted EPS - Continuing Ops,34.00%,64.18%,,-67.44%,
Diluted Weighted Average Shares Outst.,22.31%,3.72%,(4.89%),2.05%,2.37%
Normalized Basic EPS,67.10%,123.04%,,-88.71%,
Normalized Diluted EPS,63.84%,121.92%,,-88.71%,
Dividend Per Share,0.00%,0.00%,0.00%,(25.00%),(75.00%)
Payout Ratio,(24.59%),(39.24%),,,
EBITDA,119.54%,36.44%,(65.44%),(4.92%),131.77%
EBITA,211.51%,49.48%,(76.27%),(4.45%),588.50%
EBIT,169.54%,75.21%,(94.20%),65.77%,
EBITDAR,115.91%,35.81%,(64.94%),(4.42%),
Effective Tax Rate,,39.81%,,,"1,536.62%"
Normalized Net Income,101.00%,129.77%,,-88.43%,
Interest on Long-Term Debt,218.42%,(20.19%),(30.62%),(11.94%),
R&D Expense From Footnotes,50.03%,(1.68%),(9.08%),3.62%,(0.90%)
Foreign Sales,62.82%,5.23%,(18.99%),(7.02%),
