Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,2.36%,0.41%,(2.04%),(3.74%),0.00%
Total Revenues,2.36%,0.41%,(2.04%),(3.74%),0.00%
Operations And Maintenance,(5.64%),10.47%,(3.74%),(7.56%),0.00%
Depreciation & Amortization,4.72%,5.91%,9.52%,5.35%,0.00%
Other Operating Expenses,5.33%,2.00%,(7.31%),(12.59%),0.00%
Total Operating Expenses,1.26%,5.49%,(3.71%),(7.95%),0.00%
Operating Income,6.13%,(16.29%),4.90%,12.26%,0.00%
"Interest Expense, Total",(3.22%),(7.05%),(12.64%),-1.55%,0.00%
Net Interest Expenses,(3.22%),(7.05%),(12.64%),-1.55%,0.00%
Other Non-Operating Inc. (Exp.),14.63%,6.96%,(2.82%),(42.86%),0.00%
"EBT, Excl. Unusual Items",7.07%,(21.38%),0.52%,18.51%,0.00%
"EBT, Incl. Unusual Items",5.43%,(22.56%),2.39%,13.48%,0.00%
Income Tax Expense,(32.30%),(55.72%),(26.38%),82.32%,0.00%
Earnings From Continuing Operations,28.19%,(12.00%),7.00%,5.88%,0.00%
Net Income to Company,28.19%,(12.00%),7.00%,5.88%,0.00%
Minority Interest,,,,,0.00%
Net Income,28.19%,(12.00%),7.05%,5.81%,0.00%
NI to Common Incl Extra Items,28.19%,(12.00%),7.05%,5.81%,0.00%
NI to Common Excl. Extra Items,28.19%,(12.00%),7.05%,5.81%,0.00%
Revenue Per Share,2.34%,0.46%,(2.00%),(3.73%),0.00%
Basic EPS,27.99%,(11.88%),7.01%,5.68%,0.00%
Basic EPS - Continuing Ops,27.99%,(11.88%),7.01%,5.68%,0.00%
Basic Weighted Average Shares Outst.,0.00%,(0.03%),(0.03%),0.00%,0.00%
Diluted EPS,28.04%,(11.87%),7.19%,5.87%,0.00%
Diluted EPS - Continuing Ops,28.04%,(11.87%),7.19%,5.87%,0.00%
Diluted Weighted Average Shares Outst.,0.09%,(0.09%),(0.06%),(0.06%),0.00%
Normalized Basic EPS,6.92%,(21.34%),0.55%,18.56%,0.00%
Normalized Diluted EPS,7.12%,(21.44%),0.55%,18.63%,0.00%
Dividend Per Share,5.05%,6.25%,6.79%,7.20%,0.00%
Payout Ratio,(18.05%),20.69%,(0.27%),1.30%,0.00%
EBITDA,5.69%,(9.43%),6.57%,9.70%,0.00%
EBITA,6.13%,(16.29%),4.90%,12.26%,0.00%
EBIT,6.13%,(16.29%),4.90%,12.26%,0.00%
EBITDAR,5.33%,(9.41%),6.51%,9.66%,
Effective Tax Rate,(35.79%),(42.82%),(28.08%),60.71%,0.00%
Normalized Net Income,7.07%,(21.38%),0.58%,18.39%,0.00%
Interest Capitalized,(55.05%),40.82%,(14.49%),35.59%,
Interest on Long-Term Debt,,,,(24.24%),
