Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,4.70%,6.32%,0.33%,(22.16%),(30.65%)
Total Interest Income,9.78%,9.74%,2.22%,(27.67%),(32.44%)
Interest On Deposits,115.99%,86.59%,53.59%,(67.53%),(92.49%)
Total Interest On Borrowings,40.43%,42.45%,13.15%,(49.51%),(44.07%)
Total Interest Expense,58.27%,56.67%,28.67%,(57.76%),(67.08%)
Net Interest Income,3.78%,0.88%,(5.53%),(15.66%),(19.27%)
Service Charges On Deposits,(4.86%),44.18%,(1.03%),(9.47%),30.47%
Trust Income,1.77%,(77.12%),(8.38%),(5.46%),(78.13%)
Total Mortgage Banking Activities,(28.64%),(30.64%),(10.01%),30.02%,87.64%
Income From Trading Activities,(11.15%),310.52%,78.70%,(31.84%),327.71%
Gain (Loss) on Sale of Assets,190.91%,(75.00%),"4,725.00%",(95.40%),(95.40%)
Gain (Loss) on Sale of Invest. & Securities,(48.26%),,(8.33%),(7.69%),
Total Other Non Interest Income,9.29%,63.35%,(4.79%),(11.72%),54.75%
Total Non Interest Income,(3.94%),(6.46%),4.03%,(13.98%),1.29%
Revenue Before Loan Losses,0.23%,(2.35%),(1.50%),(14.91%),(10.41%)
Provision For Loan Losses,(32.94%),(31.01%),54.07%,425.83%,55.22%
Total Revenues,1.71%,(1.50%),(2.64%),(29.27%),(15.50%)
Salaries And Other Employee Benefits,4.60%,(1.58%),6.57%,0.58%,6.34%
Amort. of Goodwill & Intang. Assets,(3.36%),,,,
Occupancy Expense,(0.21%),1.37%,1.97%,10.80%,10.87%
Total Selling General & Admin Expenses,3.74%,123.06%,4.23%,(9.18%),94.57%
Total Other Non Interest Expense,40.20%,(46.02%),(6.68%),(15.55%),(54.57%)
Total Non Interest Expense,11.81%,(4.19%),3.74%,(3.53%),0.01%
"EBT, Excl. Unusual Items",(14.77%),4.24%,(15.21%),(91.25%),(63.96%)
Restructuring Charges,,,,,(0.87%)
Asset Writedown,,,,,-86.04%
"EBT, Incl. Unusual Items",(14.77%),4.24%,(15.21%),(97.60%),(72.03%)
Income Tax Expense,(51.20%),15.15%,(26.58%),,
Earnings From Continuing Operations,1.88%,1.85%,(12.39%),(82.11%),(45.97%)
Net Income to Company,1.88%,1.85%,(12.39%),(82.11%),(45.97%)
Minority Interest,(158.88%),(74.37%),(1.86%),-42.07%,(105.49%)
Net Income,1.12%,0.95%,(12.70%),(83.11%),(48.47%)
Preferred Dividend and Other Adjustments,4.09%,4.60%,(5.46%),(1.24%),(27.29%)
Net Income to Common Incl Extra Items,0.89%,0.66%,(13.30%),(90.47%),(51.65%)
Net Income to Common Excl. Extra Items,0.89%,0.66%,(13.30%),(90.47%),(51.65%)
Revenue Per Share,3.53%,1.88%,6.34%,(24.55%),(12.34%)
Basic EPS,2.73%,4.12%,(5.26%),(89.82%),(49.84%)
Basic EPS - Continuing Ops,2.73%,4.12%,(5.26%),(89.82%),(49.84%)
Basic Weighted Average Shares Outst.,(1.75%),(3.32%),(8.47%),(6.26%),(3.60%)
Diluted EPS,2.76%,4.39%,(5.37%),(89.88%),(49.61%)
Diluted EPS - Continuing Ops,2.76%,4.39%,(5.37%),(89.88%),(49.61%)
Diluted Weighted Average Shares Outst.,(1.78%),(3.57%),(8.54%),(6.58%),(3.94%)
Normalized Basic EPS,(14.16%),6.65%,(7.99%),(92.43%),(66.33%)
Normalized Diluted EPS,(14.19%),6.74%,(7.90%),(92.41%),(66.22%)
Dividend Per Share,1.32%,6.49%,17.07%,(36.46%),(59.09%)
Payout Ratio,(0.33%),1.30%,17.94%,279.34%,
Effective Tax Rate,(42.75%),10.47%,(13.41%),,
Normalized Net Income,(15.70%),3.09%,(15.68%),(92.90%),(67.55%)
Interest on Long-Term Debt,34.65%,29.98%,9.65%,(39.17%),
