Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,2.58%,(1.02%),(2.94%),(4.72%),2.53%
Total Revenues,2.58%,(1.02%),(2.94%),(4.72%),2.53%
Cost Of Revenues,3.67%,(0.86%),(3.51%),(7.58%),(2.21%)
Gross Profit,(2.44%),(1.80%),(0.11%),8.97%,25.44%
Selling General & Admin Expenses,1.96%,3.09%,(2.45%),(11.78%),(4.89%)
Total Operating Expenses,2.26%,2.80%,(2.64%),(11.73%),(4.83%)
Operating Income,(9.10%),(9.15%),4.44%,43.81%,75.39%
Interest Expense,(0.62%),(18.52%),-2.60%,(1.07%),(7.87%)
Interest And Investment Income,,,,,0.00%
Net Interest Expenses,(0.62%),(18.52%),-2.60%,-96.26%,-94.38%
Currency Exchange Gains (Loss),,,,,(98.91%)
Other Non Operating Income (Expenses),-18.99%,(50.00%),,,0.00%
"EBT, Excl. Unusual Items",(9.71%),(16.27%),39.98%,27.97%,74.86%
"EBT, Incl. Unusual Items",(20.38%),,,(6.25%),27.93%
Income Tax Expense,195.70%,(74.91%),156.52%,8.47%,(15.92%)
Earnings From Continuing Operations,(63.69%),,,(10.60%),56.01%
Net Income to Company,(63.69%),,,(10.60%),56.01%
Minority Interest,,,-41.67%,,-66.67%
Net Income,(60.59%),,,(8.70%),56.86%
NI to Common Incl Extra Items,(60.59%),,,(8.70%),56.86%
NI to Common Excl. Extra Items,(60.59%),,,(8.70%),56.86%
Revenue Per Share,6.50%,7.93%,2.43%,(3.20%),3.59%
Basic EPS,(59.08%),,,(7.26%),58.49%
Basic EPS - Continuing Ops,(59.08%),,,(7.26%),58.49%
Basic Weighted Average Shares Outst.,(3.68%),(8.29%),(5.24%),(1.57%),(1.03%)
Diluted EPS,(59.13%),,,(7.48%),57.79%
Diluted EPS - Continuing Ops,(59.13%),,,(7.48%),57.79%
Diluted Weighted Average Shares Outst.,(3.64%),(9.64%),(4.50%),(1.37%),(0.79%)
Normalized Basic EPS,0.45%,(13.88%),51.25%,33.44%,77.80%
Normalized Diluted EPS,0.37%,(12.58%),50.07%,33.15%,77.39%
Dividend Per Share,10.26%,5.81%,4.40%,2.11%,2.08%
Payout Ratio,169.23%,,,11.68%,(34.59%)
EBITDA,(6.42%),(6.66%),(0.10%),29.31%,51.71%
EBITA,(8.20%),(8.93%),3.74%,41.13%,71.58%
EBIT,(9.10%),(9.15%),4.44%,43.81%,75.39%
EBITDAR,(5.63%),(5.44%),(1.76%),27.38%,
Effective Tax Rate,271.30%,,,15.70%,(34.28%)
Normalized Net Income,(3.29%),(20.98%),43.33%,31.31%,75.98%
R&D Expense From Footnotes,(1.32%),(4.03%),(5.42%),(15.90%),(15.90%)
