Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Premiums and Annuity Revenues,6293.3,6311.4,6371.5,6633.3,6930.8,7089.4
Total Interest And Dividend Income,564.2,575.8,674.2,645.6,583.8,567.6
Gain (Loss) on Sale of Investments,267.0,335.9,154.5,120.7,103.0,315.0
Non-Insurance Activities Revenues,390.3,326.2,373.0,406.5,389.9,383.6
Other Revenues,139.3,135.5,118.4,96.1,91.4,89.6
Total Revenues,7654.2,7684.8,7691.7,7902.2,8098.9,8445.2
Policy Benefits,3845.8,4002.3,3974.7,4131.1,4468.7,4483.0
Selling General & Admin Expenses,,52.9,45.8,44.1,44.3,44.3
Other Operating Expenses,2407.5,2368.7,2364.5,2348.7,2337.3,2355.7
Non-Insurance Activities Expenses,375.4,325.4,364.4,402.7,384.5,376.0
Total Operating Expenses,6628.8,6749.4,6749.4,6926.6,7234.8,7259.0
Operating Income,1025.4,935.3,942.2,975.6,864.1,1186.2
"Interest Expense, Total",(140.9),(147.3),(157.2),(153.4),(150.5),(150.5)
Currency Exchange Gains,11.9,(15.3),27.1,30.7,(0.4),(16.3)
"EBT, Excl. Unusual Items",896.4,772.8,812.1,852.9,713.2,1019.4
Other Unusual Items,,,,,(8.4),(12.1)
"EBT, Incl. Unusual Items",896.4,772.8,812.1,852.9,704.8,1007.3
Income Tax Expense,293.0,219.4,163.0,168.9,171.8,239.1
Earnings From Continuing Operations,603.5,553.3,649.1,684.0,533.0,768.2
Net Income to Company,603.5,553.3,649.1,684.0,533.0,768.2
Minority Interest,(1.6),(4.2),(8.3),(2.0),(2.3),(3.6)
Net Income,601.9,549.1,640.7,681.9,530.7,764.6
NI to Common Incl Extra Items,601.9,549.1,640.7,681.9,530.7,764.6
NI to Common Excl. Extra Items,601.9,549.1,640.7,681.9,530.7,764.6
Revenue Per Share,$41.60,$41.04,$40.47,$41.43,$43.33,$45.49
Basic EPS,$3.27,$2.93,$3.37,$3.58,$2.84,$4.12
Basic EPS - Continuing Ops,$3.27,$2.93,$3.37,$3.58,$2.84,$4.12
Basic Weighted Average Shares Outst.,184.0,187.3,190.0,190.7,186.9,185.7
Diluted EPS,$3.12,$2.84,$3.33,$3.52,$2.81,$4.07
Diluted EPS - Continuing Ops,$3.12,$2.84,$3.33,$3.52,$2.81,$4.07
Diluted Weighted Average Shares Outst.,192.8,193.5,192.4,193.5,188.8,187.9
Normalized Basic EPS,$3.04,$2.56,$2.63,$2.78,$2.37,$3.41
Normalized Diluted EPS,$2.90,$2.47,$2.59,$2.74,$2.35,$3.37
Dividend Per Share,$0.34,$0.36,$0.39,$0.43,$0.47,$0.48
Payout Ratio,10.32%,12.16%,11.23%,11.57%,15.86%,
EBITDA,1111.5,1048.3,1073.3,1089.0,999.2,1329.9
EBITA,1025.4,935.3,942.2,975.6,864.1,1186.2
EBIT,1025.4,935.3,942.2,975.6,864.1,1186.2
EBITDAR,1158.9,1101.2,1119.1,1133.1,1043.5,
Effective Tax Rate,32.7%,28.4%,20.1%,19.8%,24.4%,23.7%
Normalized Net Income,558.7,478.7,499.2,531.0,443.5,633.5
Foreign Sales,933.8,,,,,
