Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,5.96%,7.40%,7.13%,16.69%,0.00%
Total Revenues,5.96%,7.40%,7.13%,16.69%,0.00%
Cost Of Revenues,7.79%,7.90%,5.31%,11.74%,0.00%
Gross Profit,2.29%,6.34%,11.06%,26.76%,0.00%
Selling General & Admin Expenses,2.06%,5.48%,6.48%,10.26%,0.00%
R&D Expenses,6.25%,3.07%,(3.47%),20.57%,0.00%
Other Operating Expense/(Income),(260.87%),-75.90%,0.00%,,
Total Operating Expenses,0.44%,7.60%,5.16%,12.27%,0.00%
Operating Income,4.50%,4.89%,17.98%,41.93%,0.00%
Interest Expense,-3.70%,(7.69%),(1.19%),-3.53%,0.00%
Interest And Investment Income,18.18%,61.54%,80.95%,(63.16%),0.00%
Net Interest Expenses,-7.14%,-3.08%,-25.40%,(44.68%),0.00%
Currency Exchange Gains (Loss),,,(16.36%),(67.39%),0.00%
"EBT, Excl. Unusual Items",5.13%,6.53%,18.28%,41.80%,0.00%
"EBT, Incl. Unusual Items",16.97%,7.21%,21.10%,39.24%,0.00%
Income Tax Expense,48.71%,(48.83%),42.51%,22.88%,0.00%
Earnings From Continuing Operations,4.94%,37.29%,16.82%,43.24%,0.00%
Net Income to Company,4.94%,37.29%,16.82%,43.24%,0.00%
Net Income,4.94%,37.29%,16.82%,43.24%,0.00%
NI to Common Incl Extra Items,4.94%,37.29%,16.82%,43.24%,0.00%
NI to Common Excl. Extra Items,4.94%,37.29%,16.82%,43.24%,0.00%
Revenue Per Share,5.09%,7.39%,6.99%,16.86%,0.00%
Basic EPS,4.04%,37.24%,16.65%,43.26%,0.00%
Basic EPS - Continuing Ops,4.04%,37.24%,16.65%,43.26%,0.00%
Basic Weighted Average Shares Outst.,0.82%,0.00%,0.14%,(0.14%),0.00%
Diluted EPS,4.19%,37.69%,17.15%,42.37%,0.00%
Diluted EPS - Continuing Ops,4.19%,37.69%,17.15%,42.37%,0.00%
Diluted Weighted Average Shares Outst.,1.07%,(0.53%),0.00%,0.53%,0.00%
Normalized Basic EPS,4.38%,6.32%,18.09%,42.23%,0.00%
Normalized Diluted EPS,3.88%,7.34%,18.06%,40.86%,0.00%
Dividend Per Share,8.16%,7.55%,7.02%,6.56%,0.00%
Payout Ratio,4.07%,(21.59%),(8.31%),(25.54%),0.00%
EBITDA,5.10%,5.78%,12.41%,32.50%,0.00%
EBITA,4.36%,4.97%,18.06%,41.78%,0.00%
EBIT,4.50%,4.89%,17.98%,41.93%,0.00%
EBITDAR,5.40%,5.90%,12.60%,31.27%,
Effective Tax Rate,27.16%,(52.27%),17.70%,(11.75%),0.00%
Normalized Net Income,5.13%,6.53%,18.28%,41.80%,0.00%
Interest Capitalized,(25.00%),(66.67%),11.11%,40.00%,
Interest on Long-Term Debt,(10.26%),(11.43%),1.08%,2.13%,
R&D Expense From Footnotes,6.25%,3.07%,(3.47%),20.57%,0.00%
Foreign Sales,12.16%,10.04%,7.77%,14.25%,
