Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,39.68%,10.67%,(1.59%),(68.30%),0.00%
Total Revenues,39.68%,10.67%,(1.59%),(68.30%),0.00%
Cost Of Revenues,16.77%,5.72%,10.98%,(33.46%),0.00%
Gross Profit,49.82%,12.37%,(5.67%),(81.60%),0.00%
Selling General & Admin Expenses,25.06%,11.08%,17.76%,(19.61%),0.00%
Depreciation & Amortization,36.48%,(0.32%),13.49%,16.10%,0.00%
Other Operating Expense/(Income),62.86%,13.77%,(10.49%),(76.06%),0.00%
Total Operating Expenses,40.18%,12.00%,0.34%,(47.15%),0.00%
Operating Income,93.38%,13.60%,(25.06%),,0.00%
Interest Expense,(34.32%),-1.75%,(8.43%),(34.40%),0.00%
Interest And Investment Income,130.44%,(4.25%),(18.14%),(37.08%),0.00%
Net Interest Expenses,(29.60%),-1.54%,(10.68%),(38.89%),0.00%
Currency Exchange Gains (Loss),,,,(15.56%),0.00%
Other Non Operating Income (Expenses),"(8,059.50%)",-62.25%,-62.44%,(303.93%),0.00%
"EBT, Excl. Unusual Items",150.35%,24.17%,(37.87%),,0.00%
"EBT, Incl. Unusual Items",80.38%,(45.43%),59.68%,,0.00%
Income Tax Expense,,(51.18%),,219.31%,0.00%
Earnings From Continuing Operations,194.00%,(9.69%),(61.23%),,0.00%
Net Income to Company,194.00%,(9.69%),(61.23%),,0.00%
Minority Interest,(134.85%),(62.35%),-18.32%,,0.00%
Net Income,208.78%,(23.39%),(78.52%),,0.00%
NI to Common Incl Extra Items,208.78%,(23.39%),(78.52%),,0.00%
NI to Common Excl. Extra Items,208.78%,(23.39%),(78.52%),,0.00%
Revenue Per Share,38.82%,6.04%,(1.79%),(68.30%),0.00%
Basic EPS,206.28%,(26.59%),(78.54%),,0.00%
Basic EPS - Continuing Ops,206.28%,(26.59%),(78.54%),,0.00%
Basic Weighted Average Shares Outst.,0.62%,4.37%,0.20%,0.00%,0.00%
Diluted EPS,205.88%,(26.51%),(78.50%),,0.00%
Diluted EPS - Continuing Ops,205.88%,(26.51%),(78.50%),,0.00%
Diluted Weighted Average Shares Outst.,0.73%,4.32%,(0.04%),(0.22%),0.00%
Normalized Basic EPS,156.38%,0.53%,(53.26%),,0.00%
Normalized Diluted EPS,157.47%,0.42%,(53.20%),,0.00%
Dividend Per Share,0.00%,50.00%,33.33%,,
Payout Ratio,(68.06%),131.86%,362.77%,,0.00%
EBITDA,69.15%,8.82%,(13.69%),,0.00%
EBITA,93.38%,13.60%,(25.06%),,0.00%
EBIT,93.38%,13.60%,(25.06%),,0.00%
EBITDAR,67.91%,9.26%,(10.92%),,
Effective Tax Rate,,,,,0.00%
Normalized Net Income,159.02%,4.79%,(53.24%),,0.00%
Interest Capitalized,(80.45%),211.41%,(5.93%),(97.59%),
Interest on Long-Term Debt,6.15%,(85.92%),716.66%,19.19%,
Foreign Sales,61.37%,15.68%,(8.68%),(78.76%),
