Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Other Revenue,13.06%,3.89%,(12.33%),14.92%,0.00%
Total Revenues,13.06%,3.89%,(12.33%),14.92%,0.00%
Property Expenses,6.39%,5.55%,(3.22%),0.65%,0.00%
Selling General & Admin Exp.,(10.99%),2.27%,6.40%,(0.46%),0.00%
Other Operating Expenses,,286.05%,(71.39%),(18.95%),0.00%
Total Operating Expenses,7.71%,9.50%,(6.18%),0.25%,0.00%
Operating Income,41.78%,(19.01%),(46.34%),156.59%,0.00%
Total Interest Expense,-8.82%,-4.58%,(0.80%),(17.20%),0.00%
Interest and Investment Income,(38.46%),50.00%,(50.00%),(83.33%),0.00%
Net Interest Expenses,-3.55%,-10.76%,(10.48%),(25.86%),0.00%
"EBT, Excl. Unusual Items",66.61%,(21.54%),(68.23%),327.55%,0.00%
Gain (Loss) on Sale of Assets,91.67%,(95.65%),940.00%,257.69%,0.00%
Asset Writedown,(862.50%),-98.70%,"(3,900.00%)",-98.75%,0.00%
Other Unusual Items,,,,-16.02%,0.00%
"EBT, Incl. Unusual Items",42.06%,12.71%,,,0.00%
Income Tax Expense,50.56%,(55.97%),,,0.00%
Earnings From Continuing Operations,40.24%,28.52%,,,0.00%
Net Income to Company,(43.33%),28.52%,,,0.00%
Net Income,(43.33%),28.52%,,,0.00%
NI to Common Incl Extra Items,(42.09%),28.52%,,,0.00%
NI to Common Excl. Extra Items,48.09%,28.52%,,,0.00%
Revenue Per Share,7.85%,3.64%,(11.33%),14.72%,0.00%
Basic EPS,(44.80%),28.74%,,,0.00%
Basic EPS - Continuing Ops,40.51%,28.74%,,,0.00%
Basic Weighted Average Shares Outst.,4.80%,0.20%,(1.15%),0.14%,0.00%
Diluted EPS,(45.00%),28.57%,,,0.00%
Diluted EPS - Continuing Ops,40.00%,28.57%,,,0.00%
Diluted Weighted Average Shares Outst.,4.74%,0.02%,(1.44%),0.27%,0.00%
Normalized Basic EPS,60.40%,(21.50%),(67.82%),330.93%,0.00%
Normalized Diluted EPS,59.64%,(21.74%),(67.82%),330.37%,0.00%
Dividend Per Share,0.81%,5.60%,3.03%,(62.50%),0.00%
Payout Ratio,74.06%,(17.73%),,,0.00%
EBITDA,23.86%,(15.70%),(31.07%),82.22%,0.00%
EBITA,41.78%,(19.01%),(46.34%),156.59%,0.00%
EBIT,41.78%,(19.01%),(46.34%),156.59%,0.00%
EBITDAR,,,,80.87%,
Effective Tax Rate,5.97%,(60.95%),779.88%,,0.00%
Normalized Net Income,66.61%,(21.54%),(68.23%),327.55%,0.00%
Interest Capitalized,12.50%,0.00%,(44.44%),(20.00%),
Interest on Long-Term Debt,(8.82%),(4.58%),0.80%,17.20%,
Foreign Sales,157.64%,8.07%,(20.79%),11.70%,
