Income Statement,Apr 2016,Apr 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,2213.9,2356.7,2467.0,3059.0,3162.7,3052.8
Total Revenues,2213.9,2356.7,2467.0,3059.0,3162.7,3052.8
Cost Of Revenues,671.9,708.6,743.4,955.9,1025.2,914.8
Gross Profit,1542.0,1648.1,1723.6,2103.2,2137.4,2138.0
Selling General & Admin Expenses,331.7,335.2,362.3,398.4,428.1,455.4
R&D Expenses,533.9,601.4,639.8,743.0,853.6,879.7
Total Operating Expenses,872.1,941.7,1004.2,1146.4,1313.0,1374.0
Operating Income,669.9,706.4,719.4,956.8,824.5,763.9
Interest Expense,(55.5),(54.0),(45.8),(52.9),(39.8),(49.7)
Interest And Investment Income,40.2,51.1,58.6,77.3,52.5,19.0
Net Interest Expenses,(15.3),(2.8),12.8,24.4,12.6,(30.6)
Currency Exchange Gains (Loss),,,,(5.6),(2.9),(2.9)
Other Non Operating Income (Expenses),(18.2),(9.0),(6.7),(2.6),29.3,24.0
"EBT, Excl. Unusual Items",636.5,694.5,725.4,973.0,863.4,754.4
"EBT, Incl. Unusual Items",636.8,698.1,691.4,968.3,834.0,723.9
Income Tax Expense,86.0,69.9,227.4,78.6,41.3,103.0
Earnings From Continuing Operations,550.9,628.1,464.0,889.8,792.7,620.9
Net Income to Company,550.9,628.1,464.0,889.8,792.7,620.9
Net Income,550.9,628.1,464.0,889.8,792.7,620.9
NI to Common Incl Extra Items,550.9,628.1,464.0,889.8,792.7,620.9
NI to Common Excl. Extra Items,550.9,628.1,464.0,889.8,792.7,620.9
Revenue Per Share,$8.61,$9.34,$9.88,$12.10,$12.56,$12.44
Basic EPS,$2.14,$2.49,$1.86,$3.52,$3.15,$2.53
Basic EPS - Continuing Ops,$2.14,$2.49,$1.86,$3.52,$3.15,$2.53
Basic Weighted Average Shares Outst.,257.2,252.3,249.6,252.8,251.7,245.5
Diluted EPS,$2.05,$2.34,$1.80,$3.47,$3.11,$2.50
Diluted EPS - Continuing Ops,$2.05,$2.34,$1.80,$3.47,$3.11,$2.50
Diluted Weighted Average Shares Outst.,268.7,268.8,258.0,256.4,254.9,248.2
Normalized Basic EPS,$1.55,$1.72,$1.82,$2.41,$2.14,$1.92
Normalized Diluted EPS,$1.48,$1.61,$1.76,$2.37,$2.12,$1.90
Dividend Per Share,$1.24,$1.32,$1.40,$1.44,$1.48,$1.51
Payout Ratio,57.91%,52.94%,76.09%,40.94%,46.90%,59.61%
EBITDA,738.3,769.0,816.1,1061.2,982.0,955.6
EBITA,687.5,723.6,766.0,990.5,884.5,831.7
EBIT,669.9,706.4,719.4,956.8,824.5,763.9
EBITDAR,742.8,774.0,,,998.6,
Effective Tax Rate,13.5%,10.0%,32.9%,8.1%,4.9%,14.2%
Normalized Net Income,397.8,434.1,453.4,608.1,539.6,471.5
Interest on Long-Term Debt,55.5,54.0,45.8,52.9,39.8,
R&D Expense From Footnotes,533.9,601.4,639.8,743.0,853.6,879.7
Foreign Sales,1621.5,1750.7,1814.8,2310.8,2355.4,
