Income Statement,Apr 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,6.45%,4.68%,24.00%,3.39%,(5.63%)
Total Revenues,6.45%,4.68%,24.00%,3.39%,(5.63%)
Cost Of Revenues,5.47%,4.91%,28.58%,7.26%,(14.80%)
Gross Profit,6.88%,4.58%,22.02%,1.63%,(1.07%)
Selling General & Admin Expenses,1.05%,8.11%,9.96%,7.45%,4.49%
R&D Expenses,12.65%,6.37%,16.14%,14.88%,4.97%
Total Operating Expenses,7.98%,6.64%,14.15%,14.53%,5.94%
Operating Income,5.45%,1.84%,33.00%,(13.83%),(11.60%)
Interest Expense,-2.71%,-15.04%,(15.37%),-24.70%,(15.16%)
Interest And Investment Income,27.23%,14.64%,31.89%,(32.13%),(70.21%)
Net Interest Expenses,-81.46%,,91.21%,(48.21%),
Currency Exchange Gains (Loss),,,,-47.73%,-47.73%
Other Non Operating Income (Expenses),-50.34%,-25.44%,-61.42%,,(14.52%)
"EBT, Excl. Unusual Items",9.13%,4.45%,34.13%,(11.26%),(16.87%)
"EBT, Incl. Unusual Items",9.62%,(0.96%),40.06%,(13.87%),(19.92%)
Income Tax Expense,(18.63%),225.12%,(65.44%),(47.49%),257.49%
Earnings From Continuing Operations,14.03%,(26.13%),91.76%,(10.91%),(29.05%)
Net Income to Company,14.03%,(26.13%),91.76%,(10.91%),(29.05%)
Net Income,14.03%,(26.13%),91.76%,(10.91%),(29.05%)
NI to Common Incl Extra Items,14.03%,(26.13%),91.76%,(10.91%),(29.05%)
NI to Common Excl. Extra Items,14.03%,(26.13%),91.76%,(10.91%),(29.05%)
Revenue Per Share,8.49%,5.83%,22.49%,3.83%,(2.91%)
Basic EPS,16.34%,(25.34%),89.25%,(10.54%),(27.01%)
Basic EPS - Continuing Ops,16.34%,(25.34%),89.25%,(10.54%),(27.01%)
Basic Weighted Average Shares Outst.,(1.90%),(1.07%),1.27%,(0.41%),(2.80%)
Diluted EPS,14.15%,(23.08%),92.78%,(10.37%),(26.73%)
Diluted EPS - Continuing Ops,14.15%,(23.08%),92.78%,(10.37%),(26.73%)
Diluted Weighted Average Shares Outst.,0.05%,(4.04%),(0.59%),(0.58%),(3.36%)
Normalized Basic EPS,11.00%,5.61%,32.19%,(11.05%),(14.48%)
Normalized Diluted EPS,9.11%,9.17%,34.74%,(10.69%),(13.98%)
Dividend Per Share,6.45%,6.06%,2.86%,2.78%,2.72%
Payout Ratio,(8.58%),43.73%,(46.20%),14.56%,40.31%
EBITDA,4.16%,6.13%,30.02%,(7.46%),(4.65%)
EBITA,5.25%,5.85%,29.31%,(10.70%),(9.21%)
EBIT,5.45%,1.84%,33.00%,(13.83%),(11.60%)
EBITDAR,4.20%,,,,
Effective Tax Rate,(25.78%),228.25%,(75.33%),(39.07%),346.40%
Normalized Net Income,9.13%,4.45%,34.13%,(11.26%),(16.87%)
Interest on Long-Term Debt,(2.71%),(15.04%),15.37%,(24.70%),
R&D Expense From Footnotes,12.65%,6.37%,16.14%,14.88%,4.97%
Foreign Sales,7.97%,3.66%,27.33%,1.93%,
