Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,18.21%,17.78%,(8.50%),(30.13%),0.00%
Other Revenues,,,(87.62%),465.42%,0.00%
Total Revenues,18.21%,18.51%,(8.99%),(29.72%),0.00%
Cost Of Revenues,19.81%,19.93%,(6.46%),(31.27%),0.00%
Gross Profit,15.09%,15.62%,(14.33%),(26.12%),0.00%
Selling General & Admin Expenses,0.93%,3.42%,(1.07%),(14.28%),0.00%
Depreciation & Amortization,(4.36%),0.85%,4.47%,44.58%,0.00%
Other Operating Expense/(Income),3.45%,8.54%,(5.80%),(14.35%),0.00%
Total Operating Expenses,1.11%,4.69%,(2.34%),2.94%,0.00%
Operating Income,210.27%,65.32%,(48.89%),,0.00%
Interest Expense,(32.67%),(27.45%),(8.36%),(39.52%),0.00%
Net Interest Expenses,(32.67%),(27.45%),(8.36%),(39.52%),0.00%
Currency Exchange Gains (Loss),,-16.24%,,,
Other Non Operating Income (Expenses),72.44%,,,,
"EBT, Excl. Unusual Items",105.72%,45.82%,(44.36%),,0.00%
"EBT, Incl. Unusual Items",134.33%,65.75%,(35.20%),,0.00%
Income Tax Expense,(189.16%),,(44.59%),,0.00%
Earnings From Continuing Operations,136.99%,7.93%,(31.03%),,0.00%
Net Income to Company,136.99%,7.93%,(31.03%),,0.00%
Minority Interest,-74.21%,(321.01%),-25.30%,,0.00%
Net Income,151.40%,5.73%,(31.19%),,0.00%
NI to Common Incl Extra Items,151.40%,5.73%,(31.19%),,0.00%
NI to Common Excl. Extra Items,151.40%,5.73%,(31.19%),,0.00%
Revenue Per Share,16.02%,18.13%,(8.99%),(29.74%),0.00%
Basic EPS,146.34%,5.41%,(31.18%),,0.00%
Basic EPS - Continuing Ops,146.34%,5.41%,(31.18%),,0.00%
Basic Weighted Average Shares Outst.,1.89%,0.33%,0.00%,0.02%,0.00%
Diluted EPS,146.28%,5.40%,(31.18%),,0.00%
Diluted EPS - Continuing Ops,146.28%,5.40%,(31.18%),,0.00%
Diluted Weighted Average Shares Outst.,1.89%,0.33%,0.00%,0.02%,0.00%
Normalized Basic EPS,118.85%,42.55%,(45.04%),,0.00%
Normalized Diluted EPS,118.85%,42.55%,(45.04%),,0.00%
Dividend Per Share,2.68%,5.56%,6.19%,1.46%,0.00%
Payout Ratio,(58.47%),0.38%,54.32%,,0.00%
EBITDA,37.53%,29.23%,(25.58%),(69.89%),0.00%
EBITA,210.27%,65.32%,(48.89%),,0.00%
EBIT,210.27%,65.32%,(48.89%),,0.00%
EBITDAR,31.33%,27.30%,(22.28%),(63.69%),
Effective Tax Rate,,,(14.49%),(25.97%),0.00%
Normalized Net Income,122.78%,42.80%,(44.98%),,0.00%
Interest Capitalized,5.79%,(12.95%),12.12%,(9.03%),
Interest on Long-Term Debt,,,,(3.47%),
R&D Expense From Footnotes,0.47%,4.99%,8.78%,(16.31%),0.00%
Foreign Sales,18.84%,17.62%,(9.01%),(30.16%),
