Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,6.62%,(0.19%),1.08%,(17.05%),0.00%
Total Revenues,6.62%,(0.19%),1.08%,(17.05%),0.00%
Cost Of Revenues,3.47%,5.10%,(3.06%),(10.77%),0.00%
Gross Profit,9.38%,(4.55%),4.83%,(22.33%),0.00%
Selling General & Admin Expenses,11.55%,1.16%,(0.13%),(17.25%),0.00%
R&D Expenses,18.05%,6.13%,(18.63%),(12.21%),0.00%
Other Operating Expense/(Income),,,(87.80%),(20.00%),0.00%
Total Operating Expenses,12.10%,4.10%,(1.94%),(16.81%),0.00%
Operating Income,1.16%,(33.41%),40.18%,(42.46%),0.00%
Interest Expense,(6.69%),-3.39%,-18.92%,(60.00%),0.00%
Interest And Investment Income,20.00%,(16.67%),0.00%,(50.00%),0.00%
Net Interest Expenses,(5.90%),-2.51%,-20.00%,(67.86%),0.00%
Currency Exchange Gains (Loss),,(252.94%),,(51.85%),0.00%
Other Non Operating Income (Expenses),,(28.57%),275.00%,(40.00%),0.00%
"EBT, Excl. Unusual Items",(0.53%),(36.73%),62.21%,(49.28%),0.00%
"EBT, Incl. Unusual Items",,-40.26%,,,0.00%
Income Tax Expense,,,54.72%,(71.95%),0.00%
Earnings From Continuing Operations,,-34.79%,,,0.00%
Net Income to Company,,-34.79%,,,0.00%
Net Income,,-34.77%,,,0.00%
NI to Common Incl Extra Items,,-34.77%,,,0.00%
NI to Common Excl. Extra Items,,-34.77%,,,0.00%
Revenue Per Share,1.33%,2.07%,1.63%,(15.58%),0.00%
Basic EPS,,-33.32%,,,0.00%
Basic EPS - Continuing Ops,,-33.32%,,,0.00%
Basic Weighted Average Shares Outst.,5.23%,(2.22%),(0.53%),(1.75%),0.00%
Diluted EPS,,-33.28%,,,0.00%
Diluted EPS - Continuing Ops,,-33.28%,,,0.00%
Diluted Weighted Average Shares Outst.,3.52%,(2.22%),0.04%,(2.32%),0.00%
Normalized Basic EPS,(5.23%),(35.41%),63.70%,(48.43%),0.00%
Normalized Diluted EPS,(3.09%),(35.41%),62.75%,(48.04%),0.00%
Dividend Per Share,12.90%,0.00%,7.14%,5.26%,0.00%
Payout Ratio,,,,,0.00%
EBITDA,6.55%,(18.76%),19.04%,(23.80%),0.00%
EBITA,6.09%,(23.02%),23.78%,(29.95%),0.00%
EBIT,1.16%,(33.41%),40.18%,(42.46%),0.00%
EBITDAR,,,,(21.86%),
Effective Tax Rate,54.31%,,,,0.00%
Normalized Net Income,0.08%,(36.80%),62.21%,(49.28%),0.00%
R&D Expense From Footnotes,18.05%,6.13%,(18.63%),(12.21%),0.00%
Foreign Sales,10.78%,3.79%,(2.28%),(15.86%),
