Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,6356.0,5878.0,5688.0,5597.0,5652.0,5652.0
Total Revenues,6356.0,5878.0,5688.0,5597.0,5652.0,5652.0
Cost Of Revenues,3666.0,3161.0,3024.0,2770.0,2960.0,2960.0
Gross Profit,2690.0,2717.0,2664.0,2827.0,2692.0,2692.0
Selling General & Admin Expenses,1105.0,971.0,901.0,921.0,956.0,956.0
Other Operating Expense/(Income),,,,(25.0),(26.0),(26.0)
Total Operating Expenses,1105.0,971.0,901.0,896.0,930.0,930.0
Operating Income,1585.0,1746.0,1763.0,1931.0,1762.0,1762.0
Interest Expense,(331.0),(473.0),(496.0),(519.0),(558.0),(558.0)
Interest And Investment Income,26.0,33.0,53.0,35.0,123.0,123.0
Net Interest Expenses,(305.0),(440.0),(443.0),(484.0),(435.0),(435.0)
Currency Exchange Gains (Loss),6.0,(7.0),(1.0),9.0,18.0,18.0
"EBT, Excl. Unusual Items",1286.0,1299.0,1319.0,1456.0,1345.0,1345.0
"EBT, Incl. Unusual Items",1345.0,2274.0,1839.0,1373.0,1020.0,1020.0
Income Tax Expense,327.0,934.0,297.0,79.0,116.0,116.0
Earnings From Continuing Operations,1018.0,1340.0,1542.0,1294.0,904.0,904.0
Earnings Of Discontinued Operations,625.0,,,,,
Net Income to Company,1643.0,1340.0,1542.0,1294.0,904.0,904.0
Net Income,1643.0,1340.0,1542.0,1294.0,904.0,904.0
NI to Common Incl Extra Items,1643.0,1340.0,1542.0,1294.0,904.0,904.0
NI to Common Excl. Extra Items,1018.0,1340.0,1542.0,1294.0,904.0,904.0
Revenue Per Share,$16.13,$16.94,$17.66,$18.29,$18.72,$18.72
Basic EPS,$4.17,$3.86,$4.79,$4.23,$2.99,$2.99
Basic EPS - Continuing Ops,$2.58,$3.86,$4.79,$4.23,$2.99,$2.99
Basic Weighted Average Shares Outst.,394.0,347.0,322.0,306.0,302.0,302.0
Diluted EPS,$4.10,$3.77,$4.69,$4.14,$2.94,$2.94
Diluted EPS - Continuing Ops,$2.54,$3.77,$4.69,$4.14,$2.94,$2.94
Diluted Weighted Average Shares Outst.,400.0,355.0,329.0,313.0,307.0,307.0
Normalized Basic EPS,$2.04,$2.34,$2.56,$2.97,$2.78,$2.78
Normalized Diluted EPS,$2.01,$2.29,$2.51,$2.91,$2.74,$2.74
Dividend Per Share,$1.73,$1.26,$1.50,$1.73,$1.91,$1.91
Payout Ratio,45.28%,31.04%,29.96%,39.49%,62.61%,62.61%
EBITDA,1895.0,1999.0,1900.0,2043.0,1908.0,1908.0
EBITA,1616.0,1779.0,1800.0,1983.0,1825.0,1825.0
EBIT,1585.0,1746.0,1763.0,1931.0,1762.0,1762.0
EBITDAR,2129.0,2213.0,2051.0,2089.0,1985.0,1985.0
Effective Tax Rate,24.3%,41.1%,16.2%,5.8%,11.4%,11.4%
Normalized Net Income,803.8,811.9,824.4,910.0,840.6,840.6
Interest on Long-Term Debt,331.0,473.0,,3.0,3.0,3.0
Foreign Sales,3256.0,3083.0,2788.0,2643.0,2410.0,2410.0
