Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,1.76%,1.66%,0.62%,(12.00%),0.00%
Total Revenues,1.76%,1.66%,0.62%,(12.00%),0.00%
Cost Of Revenues,2.02%,8.18%,(0.85%),(5.52%),0.00%
Gross Profit,1.66%,(0.74%),1.21%,(14.55%),0.00%
Selling General & Admin Expenses,6.52%,8.93%,(2.45%),(8.94%),0.00%
R&D Expenses,1.18%,5.89%,14.71%,(17.20%),0.00%
Total Operating Expenses,6.04%,7.14%,(0.84%),(8.28%),0.00%
Operating Income,(7.81%),(20.36%),8.09%,(33.80%),0.00%
Interest Expense,-22.80%,-11.07%,-21.57%,-6.57%,0.00%
Net Interest Expenses,-22.80%,-11.07%,-21.57%,-6.57%,0.00%
Currency Exchange Gains (Loss),(29.23%),-1.79%,-12.73%,-15.28%,0.00%
"EBT, Excl. Unusual Items",(7.68%),(22.94%),17.05%,(39.33%),0.00%
"EBT, Incl. Unusual Items",16.27%,,,,0.00%
Income Tax Expense,,,,-39.30%,0.00%
Earnings From Continuing Operations,495.34%,,,,0.00%
Net Income to Company,495.34%,,,,0.00%
Minority Interest,(69.23%),(75.00%),0.00%,,0.00%
Net Income,492.94%,,,,0.00%
NI to Common Incl Extra Items,492.94%,,,,0.00%
NI to Common Excl. Extra Items,492.94%,,,,0.00%
Revenue Per Share,0.81%,0.86%,(0.16%),(12.81%),0.00%
Basic EPS,487.17%,,,,0.00%
Basic EPS - Continuing Ops,487.17%,,,,0.00%
Basic Weighted Average Shares Outst.,0.95%,0.79%,0.79%,0.93%,0.00%
Diluted EPS,489.40%,,,,0.00%
Diluted EPS - Continuing Ops,489.40%,,,,0.00%
Diluted Weighted Average Shares Outst.,0.64%,(0.10%),1.57%,0.15%,0.00%
Normalized Basic EPS,(8.68%),(23.57%),16.02%,(40.10%),0.00%
Normalized Diluted EPS,(8.44%),(22.80%),15.12%,(39.59%),0.00%
Dividend Per Share,0.00%,0.00%,0.00%,0.00%,0.00%
Payout Ratio,(82.67%),,,,0.00%
EBITDA,(4.09%),(13.16%),3.02%,(18.60%),0.00%
EBITA,(4.29%),(15.22%),4.93%,(23.21%),0.00%
EBIT,(7.81%),(20.36%),8.09%,(33.80%),0.00%
EBITDAR,(3.53%),(13.29%),3.09%,(17.72%),
Effective Tax Rate,,,,,0.00%
Normalized Net Income,(7.77%),(22.97%),17.05%,(39.55%),0.00%
R&D Expense From Footnotes,6.32%,1.75%,31.33%,(22.03%),0.00%
Foreign Sales,148.31%,1.66%,0.62%,(12.00%),
