Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,4.14%,13.33%,6.33%,(0.82%),0.00%
Total Revenues,4.14%,13.33%,6.33%,(0.82%),0.00%
Cost Of Revenues,4.14%,11.18%,6.62%,2.52%,0.00%
Gross Profit,4.14%,15.85%,6.01%,(4.62%),0.00%
Selling General & Admin Expenses,(0.27%),6.54%,3.51%,(4.72%),0.00%
R&D Expenses,3.46%,14.14%,0.68%,1.34%,0.00%
Total Operating Expenses,(2.51%),1.29%,2.76%,(4.22%),0.00%
Operating Income,35.66%,65.46%,12.77%,(5.39%),0.00%
Interest Expense,-16.06%,-44.44%,-4.44%,-11.63%,0.00%
Net Interest Expenses,-16.06%,-44.44%,-4.44%,-11.63%,0.00%
Currency Exchange Gains (Loss),-80.00%,(400.00%),(20.00%),(200.00%),0.00%
Other Non Operating Income (Expenses),(25.00%),,,-66.67%,0.00%
"EBT, Excl. Unusual Items",161.90%,148.64%,14.44%,(5.91%),0.00%
"EBT, Incl. Unusual Items",,495.45%,14.12%,(6.35%),0.00%
Income Tax Expense,787.50%,45.07%,(47.57%),3.70%,0.00%
Earnings From Continuing Operations,,"2,376.47%",29.22%,(7.35%),0.00%
Net Income to Company,,"2,376.47%",29.22%,(7.35%),0.00%
Net Income,,"2,376.47%",29.22%,(7.35%),0.00%
NI to Common Incl Extra Items,,"2,376.47%",29.22%,(7.35%),0.00%
NI to Common Excl. Extra Items,,"2,376.47%",29.22%,(7.35%),0.00%
Revenue Per Share,1.31%,12.12%,5.54%,0.19%,0.00%
Basic EPS,,"2,354.91%",28.19%,(6.44%),0.00%
Basic EPS - Continuing Ops,,"2,354.91%",28.19%,(6.44%),0.00%
Basic Weighted Average Shares Outst.,2.80%,1.07%,0.75%,(1.02%),0.00%
Diluted EPS,,"2,325.00%",28.48%,(6.22%),0.00%
Diluted EPS - Continuing Ops,,"2,325.00%",28.48%,(6.22%),0.00%
Diluted Weighted Average Shares Outst.,4.09%,1.14%,0.54%,(1.25%),0.00%
Normalized Basic EPS,154.24%,146.30%,13.58%,(4.99%),0.00%
Normalized Diluted EPS,151.08%,145.94%,13.75%,(4.77%),0.00%
EBITDA,10.34%,25.50%,10.04%,(7.56%),0.00%
EBITA,11.07%,29.20%,11.91%,(7.74%),0.00%
EBIT,35.66%,65.46%,12.77%,(5.39%),0.00%
EBITDAR,8.90%,24.09%,13.53%,(6.74%),
Effective Tax Rate,,(75.64%),(54.07%),10.74%,0.00%
Normalized Net Income,161.90%,148.64%,14.44%,(5.91%),0.00%
R&D Expense From Footnotes,3.46%,14.14%,0.68%,1.34%,0.00%
Foreign Sales,129.19%,20.02%,8.60%,0.12%,
