Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,1729.0,1847.0,2102.0,2289.0,2050.0,2006.0
Total Interest Income,1954.0,2192.0,2481.0,2683.0,2368.0,2308.0
Interest On Deposits,49.0,59.0,135.0,254.0,105.0,63.0
Total Interest On Borrowings,38.0,68.0,116.0,157.0,47.0,32.0
Total Interest Expense,87.0,127.0,251.0,411.0,152.0,95.0
Net Interest Income,1867.0,2065.0,2230.0,2272.0,2216.0,2213.0
Service Charges On Deposits,171.0,,,,,
Trust Income,37.0,47.0,55.0,60.0,62.0,63.0
Gain (Loss) on Sale of Invest. & Securities,7.0,14.0,1.0,3.0,7.0,24.0
Total Other Non Interest Income,266.0,483.0,496.0,499.0,505.0,522.0
Total Non Interest Income,516.0,544.0,552.0,562.0,574.0,609.0
Revenue Before Loan Losses,2383.0,2609.0,2782.0,2834.0,2790.0,2822.0
Provision For Loan Losses,93.0,24.0,(39.0),37.0,385.0,22.0
Total Revenues,2290.0,2585.0,2821.0,2797.0,2405.0,2800.0
Salaries And Other Employee Benefits,952.0,981.0,1041.0,1089.0,1060.0,1074.0
Occupancy Expense,125.0,129.0,132.0,133.0,130.0,130.0
Total Selling General & Admin Expenses,229.0,234.0,230.0,228.0,224.0,234.0
Total Other Non Interest Expense,241.0,241.0,221.0,234.0,264.0,238.0
Total Non Interest Expense,1585.0,1637.0,1675.0,1706.0,1704.0,1704.0
"EBT, Excl. Unusual Items",705.0,948.0,1146.0,1091.0,701.0,1096.0
Restructuring Charges,,,(3.0),(38.0),(1.0),(1.0)
Other Unusual Items,,(12.0),,,(28.0),(28.0)
"EBT, Incl. Unusual Items",705.0,936.0,1143.0,1053.0,672.0,1067.0
Income Tax Expense,236.0,344.0,259.0,237.0,133.0,220.0
Earnings From Continuing Operations,469.0,592.0,884.0,816.0,539.0,847.0
Net Income to Company,469.0,592.0,884.0,816.0,539.0,847.0
Net Income,469.0,592.0,884.0,816.0,539.0,847.0
Preferred Dividend and Other Adjustments,62.0,47.0,41.0,40.0,38.0,38.0
Net Income to Common Incl Extra Items,407.0,545.0,843.0,776.0,501.0,809.0
Net Income to Common Excl. Extra Items,407.0,545.0,843.0,776.0,501.0,809.0
Revenue Per Share,$11.23,$12.88,$14.57,$15.89,$14.69,$17.12
Basic EPS,$2.00,$2.71,$4.35,$4.41,$3.06,$4.95
Basic EPS - Continuing Ops,$2.00,$2.71,$4.35,$4.41,$3.06,$4.95
Basic Weighted Average Shares Outst.,203.9,200.8,193.6,176.0,163.7,163.6
Diluted EPS,$1.99,$2.60,$4.08,$4.16,$3.02,$4.92
Diluted EPS - Continuing Ops,$1.99,$2.60,$4.08,$4.16,$3.02,$4.92
Diluted Weighted Average Shares Outst.,204.3,209.7,206.5,186.5,165.6,163.6
Normalized Basic EPS,$2.16,$2.95,$3.70,$3.87,$2.68,$4.19
Normalized Diluted EPS,$2.16,$2.83,$3.47,$3.66,$2.65,$4.19
Dividend Per Share,$0.28,$0.44,$1.04,$1.28,$1.36,$1.36
Payout Ratio,23.03%,21.79%,26.70%,31.86%,48.05%,
Effective Tax Rate,33.5%,36.8%,22.7%,22.5%,19.8%,20.6%
Normalized Net Income,440.6,592.5,716.3,681.9,438.1,685.0
Interest on Long-Term Debt,37.0,24.0,28.0,46.0,38.0,
